,ALPOU FP Equity_DX_SI_QTY,ALPOU FP Equity_DX_SHORT_INTEREST_VALUE,ALPOU FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALPOU FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALPOU FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALPOU FP Equity_DX_SI_MV,ALPOU FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALPOU FP Equity_DX_SUPPLY_SI_QTY,ALPOU FP Equity_DX_BROKER_SI_QTY,ALPOU FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALPOU FP Equity_DX_SUPPLY_SI_MV,ALPOU FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALPOU FP Equity_DX_UTILIZATION_QUANTITY,ALPOU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALPOU FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALPOU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALPOU FP Equity_DX_ACTIVE_UTILIZATION_MV,ALPOU FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALPOU FP Equity_DX_BROKER_SI_CON_RATIO,ALPOU FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALPOU FP Equity_DX_DEMAND_SUPPLY_RATIO,ALPOU FP Equity_PX_LAST
2017-06-09,,,,,,,,,,,,,,,,,,,,,,9.17
2017-06-12,,,,,,,,,,,,,,,,,,,,,,9.16
2017-06-13,,,,,,,,,,,,,,,,,,,,,,9.05
2017-06-14,,,,,,,,,,,,,,,,,,,,,,9.08
2017-06-15,,,,,,,,,,,,,,,,,,,,,,9.11
2017-06-16,,,,,,,,,,,,,,,,,,,,,,9.22
2017-06-19,,,,,,,,,,,,,,,,,,,,,,9.23
2017-06-20,,,,,,,,,,,,,,,,,,,,,,9.3
2017-06-21,,,,,,,,,,,,,,,,,,,,,,9.39
2017-06-22,,,,,,,,,,,,,,,,,,,,,,9.2
2017-06-23,,,,,,,,,,,,,,,,,,,,,,9.29
2017-06-26,,,,,,,,,,,,,,,,,,,,,,9.28
2017-06-27,,,,,,,,,,,,,,,,,,,,,,9.3
2017-06-28,,,,,,,,,,,,,,,,,,,,,,9.28
2017-06-29,,,,,,,,,,,,,,,,,,,,,,9.3
2017-06-30,,,,,,,,,,,,,,,,,,,,,,9.24
2017-07-03,,,,,,,,,,,,,,,,,,,,,,9.25
2017-07-04,,,,,,,,,,,,,,,,,,,,,,9.3
2017-07-05,,,,,,,,,,,,,,,,,,,,,,9.28
2017-07-06,,,,,,,,,,,,,,,,,,,,,,9.2
2017-07-07,,,,,,,,,,,,,,,,,,,,,,9.02
2017-07-10,,,,,,,,,,,,,,,,,,,,,,8.93
2017-07-11,,,,,,,,,,,,,,,,,,,,,,8.81
2017-07-12,,,,,,,,,,,,,,,,,,,,,,8.77
2017-07-13,,,,,,,,,,,,,,,,,,,,,,8.84
2017-07-14,,,,,,,,,,,,,,,,,,,,,,8.89
2017-07-17,,,,,,,,,,,,,,,,,,,,,,9.05
2017-07-18,,,,,,,,,,,,,,,,,,,,,,9.0
2017-07-19,,,,,,,,,,,,,,,,,,,,,,9.1
2017-07-20,,,,,,,,,,,,,,,,,,,,,,9.2
2017-07-21,,,,,,,,,,,,,,,,,,,,,,9.2
2017-07-24,,,,,,,,,,,,,,,,,,,,,,9.11
2017-07-25,,,,,,,,,,,,,,,,,,,,,,9.09
2017-07-26,,,,,,,,,,,,,,,,,,,,,,9.01
2017-07-27,,,,,,,,,,,,,,,,,,,,,,9.06
2017-07-28,,,,,,,,,,,,,,,,,,,,,,8.9
2017-07-31,,,,,,,,,,,,,,,,,,,,,,9.14
2017-08-01,,,,,,,,,,,,,,,,,,,,,,9.05
2017-08-02,,,,,,,,,,,,,,,,,,,,,,9.0
2017-08-03,,,,,,,,,,,,,,,,,,,,,,8.89
2017-08-04,,,,,,,,,,,,,,,,,,,,,,8.96
2017-08-07,,,,,,,,,,,,,,,,,,,,,,8.88
2017-08-08,,,,,,,,,,,,,,,,,,,,,,8.89
2017-08-09,,,,,,,,,,,,,,,,,,,,,,8.86
2017-08-10,,,,,,,,,,,,,,,,,,,,,,8.86
2017-08-11,,,,,,,,,,,,,,,,,,,,,,8.8
2017-08-14,,,,,,,,,,,,,,,,,,,,,,8.95
2017-08-15,,,,,,,,,,,,,,,,,,,,,,8.85
2017-08-16,,,,,,,,,,,,,,,,,,,,,,9.02
2017-08-17,,,,,,,,,,,,,,,,,,,,,,9.05
2017-08-18,,,,,,,,,,,,,,,,,,,,,,9.05
2017-08-21,,,,,,,,,,,,,,,,,,,,,,9.05
2017-08-22,,,,,,,,,,,,,,,,,,,,,,8.98
2017-08-23,,,,,,,,,,,,,,,,,,,,,,9.05
2017-08-24,,,,,,,,,,,,,,,,,,,,,,9.0
2017-08-25,,,,,,,,,,,,,,,,,,,,,,9.0
2017-08-28,,,,,,,,,,,,,,,,,,,,,,9.19
2017-08-29,,,,,,,,,,,,,,,,,,,,,,9.04
2017-08-30,,,,,,,,,,,,,,,,,,,,,,8.95
2017-08-31,,,,,,,,,,,,,,,,,,,,,,9.1
2017-09-01,,,,,,,,,,,,,,,,,,,,,,9.05
2017-09-04,,,,,,,,,,,,,,,,,,,,,,9.04
2017-09-05,,,,,,,,,,,,,,,,,,,,,,8.91
2017-09-06,,,,,,,,,,,,,,,,,,,,,,9.02
2017-09-07,,,,,,,,,,,,,,,,,,,,,,8.99
2017-09-08,,,,,,,,,,,,,,,,,,,,,,9.1
2017-09-11,,,,,,,,,,,,,,,,,,,,,,9.1
2017-09-12,,,,,,,,,,,,,,,,,,,,,,9.56
2017-09-13,,,,,,,,,,,,,,,,,,,,,,9.76
2017-09-14,,,,,,,,,,,,,,,,,,,,,,9.66
2017-09-15,,,,,,,,,,,,,,,,,,,,,,9.62
2017-09-18,,,,,,,,,,,,,,,,,,,,,,9.7
2017-09-19,,,,,,,,,,,,,,,,,,,,,,9.72
2017-09-20,,,,,,,,,,,,,,,,,,,,,,9.69
2017-09-21,,,,,,,,,,,,,,,,,,,,,,9.6
2017-09-22,,,,,,,,,,,,,,,,,,,,,,9.57
2017-09-25,,,,,,,,,,,,,,,,,,,,,,9.59
2017-09-26,,,,,,,,,,,,,,,,,,,,,,9.45
2017-09-27,,,,,,,,,,,,,,,,,,,,,,9.4
2017-09-28,,,,,,,,,,,,,,,,,,,,,,9.38
2017-09-29,,,,,,,,,,,,,,,,,,,,,,9.15
2017-10-02,,,,,,,,,,,,,,,,,,,,,,9.18
2017-10-03,,,,,,,,,,,,,,,,,,,,,,9.16
2017-10-04,,,,,,,,,,,,,,,,,,,,,,9.07
2017-10-05,,,,,,,,,,,,,,,,,,,,,,9.1
2017-10-06,,,,,,,,,,,,,,,,,,,,,,9.06
2017-10-09,,,,,,,,,,,,,,,,,,,,,,9.15
2017-10-10,,,,,,,,,,,,,,,,,,,,,,9.15
2017-10-11,,,,,,,,,,,,,,,,,,,,,,9.05
2017-10-12,,,,,,,,,,,,,,,,,,,,,,9.04
2017-10-13,,,,,,,,,,,,,,,,,,,,,,9.09
2017-10-16,,,,,,,,,,,,,,,,,,,,,,9.1
2017-10-17,,,,,,,,,,,,,,,,,,,,,,9.14
2017-10-18,,,,,,,,,,,,,,,,,,,,,,9.37
2017-10-19,,,,,,,,,,,,,,,,,,,,,,9.4
2017-10-20,,,,,,,,,,,,,,,,,,,,,,9.43
2017-10-23,,,,,,,,,,,,,,,,,,,,,,9.35
2017-10-24,,,,,,,,,,,,,,,,,,,,,,9.35
2017-10-25,,,,,,,,,,,,,,,,,,,,,,9.5
2017-10-26,,,,,,,,,,,,,,,,,,,,,,9.44
2017-10-27,,,,,,,,,,,,,,,,,,,,,,9.3
2017-10-30,,,,,,,,,,,,,,,,,,,,,,9.45
2017-10-31,,,,,,,,,,,,,,,,,,,,,,9.31
2017-11-01,,,,,,,,,,,,,,,,,,,,,,9.43
2017-11-02,,,,,,,,,,,,,,,,,,,,,,9.35
2017-11-03,,,,,,,,,,,,,,,,,,,,,,9.43
2017-11-06,,,,,,,,,,,,,,,,,,,,,,9.2
2017-11-07,,,,,,,,,,,,,,,,,,,,,,9.13
2017-11-08,,,,,,,,,,,,,,,,,,,,,,9.15
2017-11-09,,,,,,,,,,,,,,,,,,,,,,9.14
2017-11-10,,,,,,,,,,,,,,,,,,,,,,9.09
2017-11-13,,,,,,,,,,,,,,,,,,,,,,8.95
2017-11-14,,,,,,,,,,,,,,,,,,,,,,8.85
2017-11-15,,,,,,,,,,,,,,,,,,,,,,9.03
2017-11-16,,,,,,,,,,,,,,,,,,,,,,8.99
2017-11-17,,,,,,,,,,,,,,,,,,,,,,9.03
2017-11-20,,,,,,,,,,,,,,,,,,,,,,9.04
2017-11-21,,,,,,,,,,,,,,,,,,,,,,9.45
2017-11-22,,,,,,,,,,,,,,,,,,,,,,9.62
2017-11-23,,,,,,,,,,,,,,,,,,,,,,9.55
2017-11-24,,,,,,,,,,,,,,,,,,,,,,9.49
2017-11-27,,,,,,,,,,,,,,,,,,,,,,9.25
2017-11-28,,,,,,,,,,,,,,,,,,,,,,9.15
2017-11-29,,,,,,,,,,,,,,,,,,,,,,9.2
2017-11-30,,,,,,,,,,,,,,,,,,,,,,9.27
2017-12-01,,,,,,,,,,,,,,,,,,,,,,9.24
2017-12-04,,,,,,,,,,,,,,,,,,,,,,9.24
2017-12-05,,,,,,,,,,,,,,,,,,,,,,9.2
2017-12-06,,,,,,,,,,,,,,,,,,,,,,9.15
2017-12-07,,,,,,,,,,,,,,,,,,,,,,9.2
2017-12-08,,,,,,,,,,,,,,,,,,,,,,9.25
2017-12-11,,,,,,,,,,,,,,,,,,,,,,9.3
2017-12-12,,,,,,,,,,,,,,,,,,,,,,9.3
2017-12-13,,,,,,,,,,,,,,,,,,,,,,9.29
2017-12-14,,,,,,,,,,,,,,,,,,,,,,9.19
2017-12-15,,,,,,,,,,,,,,,,,,,,,,9.15
2017-12-18,,,,,,,,,,,,,,,,,,,,,,9.1
2017-12-19,,,,,,,,,,,,,,,,,,,,,,9.13
2017-12-20,,,,,,,,,,,,,,,,,,,,,,9.2
2017-12-21,,,,,,,,,,,,,,,,,,,,,,9.15
2017-12-22,,,,,,,,,,,,,,,,,,,,,,9.14
2017-12-27,,,,,,,,,,,,,,,,,,,,,,9.15
2017-12-28,,,,,,,,,,,,,,,,,,,,,,9.25
2017-12-29,,,,,,,,,,,,,,,,,,,,,,9.27
2018-01-02,,,,,,,,,,,,,,,,,,,,,,9.28
2018-01-03,,,,,,,,,,,,,,,,,,,,,,9.28
2018-01-04,,,,,,,,,,,,,,,,,,,,,,9.28
2018-01-05,,,,,,,,,,,,,,,,,,,,,,9.18
2018-01-08,,,,,,,,,,,,,,,,,,,,,,9.04
2018-01-09,,,,,,,,,,,,,,,,,,,,,,8.96
2018-01-10,,,,,,,,,,,,,,,,,,,,,,9.02
2018-01-11,,,,,,,,,,,,,,,,,,,,,,9.02
2018-01-12,,,,,,,,,,,,,,,,,,,,,,9.04
2018-01-15,,,,,,,,,,,,,,,,,,,,,,9.0
2018-01-16,,,,,,,,,,,,,,,,,,,,,,9.12
2018-01-17,,,,,,,,,,,,,,,,,,,,,,9.12
2018-01-18,,,,,,,,,,,,,,,,,,,,,,9.0
2018-01-19,,,,,,,,,,,,,,,,,,,,,,8.88
2018-01-22,,,,,,,,,,,,,,,,,,,,,,8.7
2018-01-23,,,,,,,,,,,,,,,,,,,,,,8.68
2018-01-24,,,,,,,,,,,,,,,,,,,,,,8.48
2018-01-25,,,,,,,,,,,,,,,,,,,,,,8.44
2018-01-26,,,,,,,,,,,,,,,,,,,,,,8.36
2018-01-29,,,,,,,,,,,,,,,,,,,,,,8.36
2018-01-30,,,,,,,,,,,,,,,,,,,,,,8.7
2018-01-31,,,,,,,,,,,,,,,,,,,,,,8.5
2018-02-01,,,,,,,,,,,,,,,,,,,,,,8.54
2018-02-02,,,,,,,,,,,,,,,,,,,,,,8.32
2018-02-05,,,,,,,,,,,,,,,,,,,,,,8.14
2018-02-06,,,,,,,,,,,,,,,,,,,,,,7.74
2018-02-07,,,,,,,,,,,,,,,,,,,,,,7.98
2018-02-08,,,,,,,,,,,,,,,,,,,,,,7.98
2018-02-09,,,,,,,,,,,,,,,,,,,,,,8.0
2018-02-12,,,,,,,,,,,,,,,,,,,,,,8.2
2018-02-13,,,,,,,,,,,,,,,,,,,,,,8.32
2018-02-14,,,,,,,,,,,,,,,,,,,,,,8.48
2018-02-15,,,,,,,,,,,,,,,,,,,,,,8.54
2018-02-16,,,,,,,,,,,,,,,,,,,,,,8.58
2018-02-19,,,,,,,,,,,,,,,,,,,,,,8.94
2018-02-20,,,,,,,,,,,,,,,,,,,,,,8.96
2018-02-21,,,,,,,,,,,,,,,,,,,,,,8.88
2018-02-22,,,,,,,,,,,,,,,,,,,,,,8.7
2018-02-23,,,,,,,,,,,,,,,,,,,,,,8.68
2018-02-26,,,,,,,,,,,,,,,,,,,,,,8.54
2018-02-27,,,,,,,,,,,,,,,,,,,,,,8.4
2018-02-28,,,,,,,,,,,,,,,,,,,,,,8.32
2018-03-01,,,,,,,,,,,,,,,,,,,,,,8.48
2018-03-02,,,,,,,,,,,,,,,,,,,,,,8.34
2018-03-05,,,,,,,,,,,,,,,,,,,,,,8.3
2018-03-06,,,,,,,,,,,,,,,,,,,,,,8.34
2018-03-07,,,,,,,,,,,,,,,,,,,,,,8.58
2018-03-08,,,,,,,,,,,,,,,,,,,,,,8.58
2018-03-09,,,,,,,,,,,,,,,,,,,,,,8.66
2018-03-12,,,,,,,,,,,,,,,,,,,,,,8.5
2018-03-13,,,,,,,,,,,,,,,,,,,,,,8.32
2018-03-14,,,,,,,,,,,,,,,,,,,,,,8.4
2018-03-15,,,,,,,,,,,,,,,,,,,,,,8.4
2018-03-16,,,,,,,,,,,,,,,,,,,,,,8.32
2018-03-19,,,,,,,,,,,,,,,,,,,,,,8.5
2018-03-20,,,,,,,,,,,,,,,,,,,,,,8.48
2018-03-21,,,,,,,,,,,,,,,,,,,,,,8.48
2018-03-22,,,,,,,,,,,,,,,,,,,,,,8.48
2018-03-23,,,,,,,,,,,,,,,,,,,,,,8.48
2018-03-26,,,,,,,,,,,,,,,,,,,,,,8.46
2018-03-27,,,,,,,,,,,,,,,,,,,,,,8.48
2018-03-28,,,,,,,,,,,,,,,,,,,,,,8.28
2018-03-29,,,,,,,,,,,,,,,,,,,,,,8.28
2018-04-03,,,,,,,,,,,,,,,,,,,,,,8.22
2018-04-04,,,,,,,,,,,,,,,,,,,,,,8.22
2018-04-05,,,,,,,,,,,,,,,,,,,,,,8.3
2018-04-06,,,,,,,,,,,,,,,,,,,,,,8.26
2018-04-09,,,,,,,,,,,,,,,,,,,,,,7.98
2018-04-10,,,,,,,,,,,,,,,,,,,,,,8.0
2018-04-11,,,,,,,,,,,,,,,,,,,,,,8.1
2018-04-12,,,,,,,,,,,,,,,,,,,,,,8.08
2018-04-13,,,,,,,,,,,,,,,,,,,,,,8.04
2018-04-16,,,,,,,,,,,,,,,,,,,,,,8.0
2018-04-17,,,,,,,,,,,,,,,,,,,,,,8.04
2018-04-18,,,,,,,,,,,,,,,,,,,,,,8.04
2018-04-19,,,,,,,,,,,,,,,,,,,,,,8.2
2018-04-20,,,,,,,,,,,,,,,,,,,,,,8.2
2018-04-23,,,,,,,,,,,,,,,,,,,,,,8.26
2018-04-24,,,,,,,,,,,,,,,,,,,,,,8.26
2018-04-25,,,,,,,,,,,,,,,,,,,,,,8.3
2018-04-26,,,,,,,,,,,,,,,,,,,,,,8.28
2018-04-27,,,,,,,,,,,,,,,,,,,,,,8.2
2018-04-30,,,,,,,,,,,,,,,,,,,,,,8.16
2018-05-02,,,,,,,,,,,,,,,,,,,,,,8.16
2018-05-03,,,,,,,,,,,,,,,,,,,,,,8.2
2018-05-04,,,,,,,,,,,,,,,,,,,,,,8.48
2018-05-07,,,,,,,,,,,,,,,,,,,,,,8.34
2018-05-08,,,,,,,,,,,,,,,,,,,,,,8.3
2018-05-09,,,,,,,,,,,,,,,,,,,,,,8.2
2018-05-10,,,,,,,,,,,,,,,,,,,,,,8.22
2018-05-11,,,,,,,,,,,,,,,,,,,,,,8.16
2018-05-14,,,,,,,,,,,,,,,,,,,,,,8.46
2018-05-15,,,,,,,,,,,,,,,,,,,,,,8.14
2018-05-16,,,,,,,,,,,,,,,,,,,,,,7.98
2018-05-17,,,,,,,,,,,,,,,,,,,,,,8.06
2018-05-18,,,,,,,,,,,,,,,,,,,,,,8.02
2018-05-21,,,,,,,,,,,,,,,,,,,,,,7.94
2018-05-22,,,,,,,,,,,,,,,,,,,,,,8.1
2018-05-23,,,,,,,,,,,,,,,,,,,,,,8.0
2018-05-24,,,,,,,,,,,,,,,,,,,,,,8.1
2018-05-25,,,,,,,,,,,,,,,,,,,,,,8.1
2018-05-28,,,,,,,,,,,,,,,,,,,,,,8.18
2018-05-29,,,,,,,,,,,,,,,,,,,,,,8.1
2018-05-30,,,,,,,,,,,,,,,,,,,,,,8.1
2018-05-31,,,,,,,,,,,,,,,,,,,,,,8.1
2018-06-01,,,,,,,,,,,,,,,,,,,,,,8.1
2018-06-04,,,,,,,,,,,,,,,,,,,,,,8.3
2018-06-05,,,,,,,,,,,,,,,,,,,,,,8.28
2018-06-06,,,,,,,,,,,,,,,,,,,,,,8.1
2018-06-07,,,,,,,,,,,,,,,,,,,,,,8.2
2018-06-08,,,,,,,,,,,,,,,,,,,,,,8.14
2018-06-11,,,,,,,,,,,,,,,,,,,,,,8.34
2018-06-12,,,,,,,,,,,,,,,,,,,,,,8.1
2018-06-13,,,,,,,,,,,,,,,,,,,,,,8.06
2018-06-14,,,,,,,,,,,,,,,,,,,,,,8.06
2018-06-15,,,,,,,,,,,,,,,,,,,,,,8.16
2018-06-18,,,,,,,,,,,,,,,,,,,,,,8.18
2018-06-19,,,,,,,,,,,,,,,,,,,,,,8.0
2018-06-20,,,,,,,,,,,,,,,,,,,,,,7.8
2018-06-21,,,,,,,,,,,,,,,,,,,,,,8.2
2018-06-22,,,,,,,,,,,,,,,,,,,,,,8.02
2018-06-25,,,,,,,,,,,,,,,,,,,,,,8.06
2018-06-26,,,,,,,,,,,,,,,,,,,,,,7.78
2018-06-27,,,,,,,,,,,,,,,,,,,,,,7.8
2018-06-28,,,,,,,,,,,,,,,,,,,,,,7.78
2018-06-29,,,,,,,,,,,,,,,,,,,,,,7.76
2018-07-02,,,,,,,,,,,,,,,,,,,,,,7.76
2018-07-03,,,,,,,,,,,,,,,,,,,,,,7.6
2018-07-04,,,,,,,,,,,,,,,,,,,,,,7.56
2018-07-05,,,,,,,,,,,,,,,,,,,,,,7.58
2018-07-06,,,,,,,,,,,,,,,,,,,,,,7.7
2018-07-09,,,,,,,,,,,,,,,,,,,,,,7.78
2018-07-10,,,,,,,,,,,,,,,,,,,,,,7.78
2018-07-11,,,,,,,,,,,,,,,,,,,,,,7.52
2018-07-12,,,,,,,,,,,,,,,,,,,,,,7.54
2018-07-13,,,,,,,,,,,,,,,,,,,,,,7.5
2018-07-16,,,,,,,,,,,,,,,,,,,,,,7.5
2018-07-17,,,,,,,,,,,,,,,,,,,,,,7.5
2018-07-18,,,,,,,,,,,,,,,,,,,,,,7.48
2018-07-19,,,,,,,,,,,,,,,,,,,,,,7.5
2018-07-20,,,,,,,,,,,,,,,,,,,,,,7.46
2018-07-23,,,,,,,,,,,,,,,,,,,,,,7.32
2018-07-24,,,,,,,,,,,,,,,,,,,,,,7.7
2018-07-25,,,,,,,,,,,,,,,,,,,,,,7.64
2018-07-26,,,,,,,,,,,,,,,,,,,,,,7.76
2018-07-27,,,,,,,,,,,,,,,,,,,,,,7.74
2018-07-30,,,,,,,,,,,,,,,,,,,,,,7.86
2018-07-31,,,,,,,,,,,,,,,,,,,,,,7.8
2018-08-01,,,,,,,,,,,,,,,,,,,,,,7.44
2018-08-02,,,,,,,,,,,,,,,,,,,,,,7.06
2018-08-03,,,,,,,,,,,,,,,,,,,,,,6.54
2018-08-06,,,,,,,,,,,,,,,,,,,,,,6.3
2018-08-07,,,,,,,,,,,,,,,,,,,,,,6.52
2018-08-08,,,,,,,,,,,,,,,,,,,,,,6.5
2018-08-09,,,,,,,,,,,,,,,,,,,,,,6.68
2018-08-10,,,,,,,,,,,,,,,,,,,,,,6.6
2018-08-13,,,,,,,,,,,,,,,,,,,,,,6.24
2018-08-14,,,,,,,,,,,,,,,,,,,,,,6.28
2018-08-15,,,,,,,,,,,,,,,,,,,,,,6.0
2018-08-16,,,,,,,,,,,,,,,,,,,,,,6.1
2018-08-17,,,,,,,,,,,,,,,,,,,,,,6.06
2018-08-20,,,,,,,,,,,,,,,,,,,,,,5.96
2018-08-21,,,,,,,,,,,,,,,,,,,,,,6.16
2018-08-22,,,,,,,,,,,,,,,,,,,,,,6.7
2018-08-23,,,,,,,,,,,,,,,,,,,,,,6.62
2018-08-24,,,,,,,,,,,,,,,,,,,,,,6.92
2018-08-27,,,,,,,,,,,,,,,,,,,,,,6.86
2018-08-28,,,,,,,,,,,,,,,,,,,,,,6.7
2018-08-29,,,,,,,,,,,,,,,,,,,,,,6.6
2018-08-30,,,,,,,,,,,,,,,,,,,,,,6.5
2018-08-31,,,,,,,,,,,,,,,,,,,,,,6.58
2018-09-03,,,,,,,,,,,,,,,,,,,,,,6.78
2018-09-04,,,,,,,,,,,,,,,,,,,,,,6.6
2018-09-05,,,,,,,,,,,,,,,,,,,,,,6.64
2018-09-06,,,,,,,,,,,,,,,,,,,,,,6.5
2018-09-07,,,,,,,,,,,,,,,,,,,,,,6.48
2018-09-10,,,,,,,,,,,,,,,,,,,,,,6.7
2018-09-11,,,,,,,,,,,,,,,,,,,,,,6.6
2018-09-12,,,,,,,,,,,,,,,,,,,,,,6.34
2018-09-13,,,,,,,,,,,,,,,,,,,,,,6.34
2018-09-14,,,,,,,,,,,,,,,,,,,,,,6.4
2018-09-17,,,,,,,,,,,,,,,,,,,,,,6.08
2018-09-18,,,,,,,,,,,,,,,,,,,,,,5.88
2018-09-19,,,,,,,,,,,,,,,,,,,,,,5.66
2018-09-20,,,,,,,,,,,,,,,,,,,,,,5.5
2018-09-21,,,,,,,,,,,,,,,,,,,,,,5.84
2018-09-24,,,,,,,,,,,,,,,,,,,,,,5.52
2018-09-25,,,,,,,,,,,,,,,,,,,,,,5.6
2018-09-26,,,,,,,,,,,,,,,,,,,,,,5.56
2018-09-27,,,,,,,,,,,,,,,,,,,,,,5.66
2018-09-28,,,,,,,,,,,,,,,,,,,,,,5.68
2018-10-01,,,,,,,,,,,,,,,,,,,,,,5.54
2018-10-02,,,,,,,,,,,,,,,,,,,,,,5.72
2018-10-03,,,,,,,,,,,,,,,,,,,,,,5.8
2018-10-04,,,,,,,,,,,,,,,,,,,,,,6.1
2018-10-05,,,,,,,,,,,,,,,,,,,,,,6.0
2018-10-08,,,,,,,,,,,,,,,,,,,,,,6.1
2018-10-09,,,,,,,,,,,,,,,,,,,,,,6.04
2018-10-10,,,,,,,,,,,,,,,,,,,,,,6.0
2018-10-11,,,,,,,,,,,,,,,,,,,,,,5.58
2018-10-12,,,,,,,,,,,,,,,,,,,,,,5.98
2018-10-15,,,,,,,,,,,,,,,,,,,,,,5.76
2018-10-16,,,,,,,,,,,,,,,,,,,,,,5.6
2018-10-17,,,,,,,,,,,,,,,,,,,,,,5.62
2018-10-18,,,,,,,,,,,,,,,,,,,,,,5.68
2018-10-19,,,,,,,,,,,,,,,,,,,,,,5.6
2018-10-22,,,,,,,,,,,,,,,,,,,,,,5.8
2018-10-23,,,,,,,,,,,,,,,,,,,,,,5.5
2018-10-24,,,,,,,,,,,,,,,,,,,,,,5.42
2018-10-25,,,,,,,,,,,,,,,,,,,,,,5.2
2018-10-26,,,,,,,,,,,,,,,,,,,,,,4.64
2018-10-29,,,,,,,,,,,,,,,,,,,,,,5.5
2018-10-30,,,,,,,,,,,,,,,,,,,,,,5.4
2018-10-31,,,,,,,,,,,,,,,,,,,,,,5.6
2018-11-01,,,,,,,,,,,,,,,,,,,,,,5.58
2018-11-02,,,,,,,,,,,,,,,,,,,,,,5.68
2018-11-05,,,,,,,,,,,,,,,,,,,,,,5.7
2018-11-06,,,,,,,,,,,,,,,,,,,,,,5.7
2018-11-07,,,,,,,,,,,,,,,,,,,,,,5.7
2018-11-08,,,,,,,,,,,,,,,,,,,,,,5.7
2018-11-09,,,,,,,,,,,,,,,,,,,,,,5.54
2018-11-12,,,,,,,,,,,,,,,,,,,,,,5.68
2018-11-13,,,,,,,,,,,,,,,,,,,,,,5.66
2018-11-14,,,,,,,,,,,,,,,,,,,,,,5.66
2018-11-16,,,,,,,,,,,,,,,,,,,,,,5.5
2018-11-19,,,,,,,,,,,,,,,,,,,,,,5.5
2018-11-20,,,,,,,,,,,,,,,,,,,,,,5.5
2018-11-21,,,,,,,,,,,,,,,,,,,,,,5.0
2018-11-22,,,,,,,,,,,,,,,,,,,,,,5.26
2018-11-23,,,,,,,,,,,,,,,,,,,,,,5.18
2018-11-26,,,,,,,,,,,,,,,,,,,,,,5.2
2018-11-27,,,,,,,,,,,,,,,,,,,,,,5.2
2018-11-28,,,,,,,,,,,,,,,,,,,,,,5.28
2018-11-29,,,,,,,,,,,,,,,,,,,,,,5.32
2018-11-30,,,,,,,,,,,,,,,,,,,,,,5.34
2018-12-03,,,,,,,,,,,,,,,,,,,,,,5.34
2018-12-04,,,,,,,,,,,,,,,,,,,,,,5.32
2018-12-05,,,,,,,,,,,,,,,,,,,,,,5.08
2018-12-06,,,,,,,,,,,,,,,,,,,,,,5.06
2018-12-07,,,,,,,,,,,,,,,,,,,,,,5.3
2018-12-10,,,,,,,,,,,,,,,,,,,,,,5.62
2018-12-11,,,,,,,,,,,,,,,,,,,,,,5.24
2018-12-12,,,,,,,,,,,,,,,,,,,,,,5.22
2018-12-13,,,,,,,,,,,,,,,,,,,,,,5.2
2018-12-14,,,,,,,,,,,,,,,,,,,,,,5.26
2018-12-17,,,,,,,,,,,,,,,,,,,,,,5.3
2018-12-18,,,,,,,,,,,,,,,,,,,,,,5.2
2018-12-19,,,,,,,,,,,,,,,,,,,,,,5.2
2018-12-20,,,,,,,,,,,,,,,,,,,,,,5.2
2018-12-21,,,,,,,,,,,,,,,,,,,,,,5.26
2018-12-24,,,,,,,,,,,,,,,,,,,,,,5.16
2018-12-27,,,,,,,,,,,,,,,,,,,,,,5.12
2018-12-28,,,,,,,,,,,,,,,,,,,,,,5.14
2018-12-31,,,,,,,,,,,,,,,,,,,,,,5.22
2019-01-02,,,,,,,,,,,,,,,,,,,,,,4.82
2019-01-03,,,,,,,,,,,,,,,,,,,,,,5.28
2019-01-04,,,,,,,,,,,,,,,,,,,,,,5.1
2019-01-07,,,,,,,,,,,,,,,,,,,,,,5.14
2019-01-08,,,,,,,,,,,,,,,,,,,,,,5.0
2019-01-09,,,,,,,,,,,,,,,,,,,,,,5.0
2019-01-10,,,,,,,,,,,,,,,,,,,,,,5.0
2019-01-11,,,,,,,,,,,,,,,,,,,,,,5.0
2019-01-14,,,,,,,,,,,,,,,,,,,,,,4.9
2019-01-15,,,,,,,,,,,,,,,,,,,,,,4.9
2019-01-16,,,,,,,,,,,,,,,,,,,,,,4.9
2019-01-17,,,,,,,,,,,,,,,,,,,,,,4.99
2019-01-18,,,,,,,,,,,,,,,,,,,,,,4.82
2019-01-21,,,,,,,,,,,,,,,,,,,,,,4.65
2019-01-22,,,,,,,,,,,,,,,,,,,,,,4.97
2019-01-23,,,,,,,,,,,,,,,,,,,,,,4.71
2019-01-24,,,,,,,,,,,,,,,,,,,,,,4.98
