,MSE FP Equity_DX_SI_QTY,MSE FP Equity_DX_SHORT_INTEREST_VALUE,MSE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MSE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MSE FP Equity_DX_SI_MV,MSE FP Equity_DX_DSS,MSE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MSE FP Equity_DX_SUPPLY_SI_QTY,MSE FP Equity_DX_BROKER_SI_QTY,MSE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MSE FP Equity_DX_BROKER_SI_MV_NEW_x,MSE FP Equity_DX_SUPPLY_SI_QTY_NEW_x,MSE FP Equity_DX_SUPPLY_SI_QTY_INC_x,MSE FP Equity_DX_BROKER_SI_MV_INC_x,MSE FP Equity_DX_SUPPLY_SI_MV_NEW,MSE FP Equity_DX_BROKER_SI_QTY_ADD,MSE FP Equity_DX_BROKER_SI_QTY_NEW,MSE FP Equity_DX_SUPPLY_SI_MV_DEC,MSE FP Equity_DX_BROKER_SI_QTY_INC,MSE FP Equity_DX_SUPPLY_SI_QTY_DEC,MSE FP Equity_DX_BROKER_SI_MV_NEW_y,MSE FP Equity_DX_SUPPLY_SI_QTY_NEW_y,MSE FP Equity_DX_BROKER_SI_MV_INC_y,MSE FP Equity_DX_SUPPLY_SI_QTY_INC_y,MSE FP Equity_DX_BROKER_SI_MV_ADD,MSE FP Equity_DX_SUPPLY_SI_QTY_ADD,MSE FP Equity_DX_BROKER_SI_QTY_DEC,MSE FP Equity_DX_SUPPLY_SI_MV,MSE FP Equity_DX_BROKER_SI_MV_DEC,MSE FP Equity_DX_SUPPLY_SI_MV_RMV,MSE FP Equity_DX_BROKER_SI_MV_RMV,MSE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MSE FP Equity_DX_UTILIZATION_QUANTITY,MSE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MSE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MSE FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,MSE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MSE FP Equity_DX_ACTIVE_UTILIZATION_MV,MSE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,MSE FP Equity_DX_BROKER_SI_CON_RATIO,MSE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,MSE FP Equity_DX_DEMAND_SUPPLY_RATIO,MSE FP Equity_PX_LAST
2007-09-25,5001082.0,146755844.05,2.19,4.71,223.78,,84104538.98,2535345.0,2866078.0,74399239.09,,,,,,16666.0,,25.29,,562558.0,,,,,0.75,,386742.0,113.49,17.3,,,36.42,36.42,4425657.0,129870101.81,,198.51,36.38,17.19,0.2204,39.01,0.7184,44.49
2007-09-26,4278030.0,126610265.24,1.91,4.03,190.62,,63423840.01,2585345.0,2143026.0,76514474.23,,,50000.0,1.05,,,,,26948.0,,,,1.05,50000.0,,,750000.0,115.16,33.85,,,37.14,37.14,4375657.0,129499581.21,,194.89,37.14,19.94,0.159,23.3,0.6146,44.87
2007-09-27,3764320.0,112052330.09,1.71,3.58,168.95,,64544156.76,2046345.0,2168316.0,60913451.94,,,,1.69,,,,23.14,31000.0,539000.0,,,1.69,,,,5710.0,91.81,0.02,,,29.4,29.4,4914657.0,146294355.54,,220.7,29.38,19.75,0.1592,22.83,0.5408,45.13
2007-09-28,3954425.0,117372101.41,1.92,3.76,178.15,,70000778.56,2046345.0,2358421.0,60737986.65,,,,9.2,,,,,195000.0,,,,9.2,,,,4895.0,92.12,0.0,,,29.4,29.4,4914657.0,145872944.81,,221.44,29.38,21.03,0.1644,22.14,0.5681,45.0
2007-10-01,3635694.0,108583232.15,1.95,3.46,163.56,,60917124.54,2046345.0,2039689.0,61115911.9,,,,1.7,,,,,35674.0,,,,1.7,,,,354405.0,92.0,15.99,,,29.42,29.42,4908457.0,146595430.18,,220.88,29.4,23.75,0.1687,25.04,0.5228,45.28
2007-10-02,3568783.0,107055656.93,1.91,3.4,161.13,,59179039.98,2046345.0,1972779.0,61385858.51,,,,1.46,,,,,33089.0,,,,1.46,,,,100000.0,92.38,4.52,,,29.42,29.42,4908457.0,147242936.5,,221.79,29.4,25.79,0.1804,25.9,0.5131,45.48
2007-10-03,3393446.0,101661636.35,1.89,3.23,153.09,,53848181.16,2046345.0,1797442.0,61304874.52,,,,4.57,,,,,101000.0,,,,4.57,,,,276337.0,92.18,12.63,,,29.4,29.4,4913457.0,147198475.75,,221.55,29.38,20.85,0.2021,32.77,0.4876,45.42
2007-10-04,3394706.0,101676992.84,1.92,3.23,153.56,,53874064.61,2046345.0,1798702.0,61291377.19,,,,0.14,,,,,2152.0,,,,0.14,,,,892.0,92.44,0.0,,,29.43,29.43,4907457.0,146986357.65,,221.9,29.41,20.85,0.2017,32.7,0.4882,45.41
2007-10-05,3394738.0,102618377.18,1.96,3.23,153.74,,54373316.6,2046345.0,1798734.0,61858265.07,,,,0.02,,,,,32.0,,,,0.02,,,,,92.57,,,,29.43,29.43,4907457.0,148345843.89,,222.21,29.41,20.85,0.2017,32.71,0.4882,45.83
2007-10-08,3130480.0,93972761.47,1.84,2.98,141.87,1.0,46062887.2,2046345.0,1534476.0,61428499.97,,,,,,,,,,,,,,,,,264258.0,92.84,12.21,,,29.43,29.43,4907457.0,147315199.62,,222.81,29.41,17.53,0.2168,37.5,0.4502,44.31
2007-10-09,2614549.0,78733191.54,1.53,2.49,117.59,1.0,30671943.26,2046345.0,1018545.0,61622586.85,,,,0.15,,,,,5412.0,,,,0.15,,,,255342.0,92.54,12.11,,11.91,29.43,29.43,4907457.0,147780650.49,,222.08,29.41,24.48,0.2144,32.38,0.376,44.45
2007-10-10,2716235.0,81758508.45,1.59,2.59,122.19,1.0,33718854.93,2046345.0,1120230.0,61594860.16,11.91,,,0.07,,,266000.0,,1535.0,,11.91,,0.07,,,,165850.0,92.48,7.38,,,29.43,29.43,4907907.0,147727702.48,,221.95,29.41,22.71,0.204,30.13,0.3906,44.43
2007-10-11,2710926.0,82296603.64,1.65,2.58,121.27,1.0,33846107.91,2046345.0,1114922.0,62121667.42,,,,,,,,,,,,,,,,,5308.0,91.68,0.3,,,29.43,29.43,4907907.0,148991184.97,,220.07,29.41,22.66,0.2043,30.32,0.3898,44.81
2007-10-12,1115114.0,33783945.58,0.68,1.06,49.99,1.0,33783945.58,0.0,1115114.0,0.0,,,,0.02,,,,,192.0,,,,0.02,,,,,0.0,,91.68,,0.0,0.0,0.0,0.0,2046345.0,0.0,0.0,23.83,0.256,39.29,19.9145,44.72
2007-10-15,3577937.0,107526010.44,2.27,3.41,159.99,1.0,67526441.66,2358532.0,2246948.0,70879821.66,,2358532.0,,51.39,105.41,,,,1150289.0,,,2358532.0,51.39,,,,18456.0,105.41,0.82,,,33.94,33.94,4589870.0,137937143.54,,205.31,33.92,12.63,0.4162,61.74,0.5149,44.36
2007-10-16,3576966.0,107254501.16,2.29,3.4,158.95,1.0,67345102.73,2358532.0,2245977.0,70720038.47,,,,0.07,,,,,2983.0,,,,0.07,,,,3953.0,104.69,0.18,,,33.92,33.92,4594370.0,137761125.62,,206.22,33.67,12.68,0.4157,61.66,0.5145,44.26
2007-10-17,3579917.0,107682525.71,2.37,3.41,158.88,1.0,67646888.79,2348532.0,2248928.0,70642938.78,,,,0.16,,,,0.8,3951.0,10000.0,,,0.16,,,,1000.0,103.89,0.05,,,33.78,33.78,4604370.0,138497677.71,,203.84,33.76,12.58,0.4158,61.69,0.5149,44.4
2007-10-18,3539647.0,105895699.5,2.36,3.37,157.21,1.0,69666514.15,2228532.0,2328658.0,66671042.34,,,,3.55,,,,5.08,80000.0,120000.0,,,3.55,,,,270.0,98.82,0.0,,,32.05,32.05,4724370.0,141339084.33,,209.88,32.01,13.06,0.396,59.6,0.5091,44.16
2007-10-19,3697933.0,110455778.95,2.48,3.52,163.59,1.0,69504886.13,2378532.0,2326944.0,71045799.05,,,150000.0,,,,,,,,,,,150000.0,,,1714.0,105.01,0.12,,,34.2,34.2,4575530.0,136669250.16,,202.08,34.19,13.12,0.3956,59.56,0.5318,44.09
2007-10-22,3638749.0,107430755.68,2.48,3.46,160.95,1.0,66953552.03,2378532.0,2267760.0,70223994.61,,,,,,,,,,,,,,,,,59184.0,105.04,2.62,,,34.2,34.2,4575530.0,135088362.94,,201.56,34.26,13.42,0.4102,60.82,0.5233,43.58
2007-10-23,3163896.0,93989881.65,2.2,3.01,138.36,1.0,67402407.16,1502532.0,2268906.0,44635729.13,,,,0.0,,,,39.69,1146.0,876000.0,,,0.0,,,,,65.35,,,,21.61,21.61,5451530.0,161948641.65,,237.71,21.56,13.54,0.409,60.7,0.455,43.85
2007-10-24,2142668.0,63318388.1,1.51,2.04,93.67,1.0,36870398.56,1502532.0,1247679.0,44401607.86,,,,,,,,,,,,,,,,,1021227.0,65.29,44.68,,,21.61,21.61,5451530.0,161099196.1,,237.48,21.56,21.2,0.3752,56.13,0.3081,43.62
2007-10-25,2091245.0,62464651.32,1.46,1.99,91.07,1.0,35731688.03,1502532.0,1196256.0,44880029.59,,,,,,,,,,,,,,,,,51423.0,65.07,2.26,,,21.6,21.6,5453530.0,162894758.82,,236.8,21.56,21.92,0.3944,57.97,0.3006,44.09
2007-10-26,2139926.0,64440637.23,1.51,2.04,93.49,1.0,37489396.17,1502532.0,1244937.0,45246480.27,,,,0.04,,48000.0,,,681.0,,,,0.04,,2.09,,,64.82,,,,21.56,21.56,5465530.0,164586175.42,,236.45,21.52,21.05,0.3731,56.4,0.3071,44.45
2007-10-29,2037259.0,61735425.94,1.44,1.94,90.53,1.0,37644731.27,1512532.0,1242270.0,45834529.27,,,10000.0,,,,,,,,,,,10000.0,,,2667.0,67.18,0.02,,,21.7,21.7,5459130.0,165428998.37,,242.72,21.68,21.49,0.3721,56.17,0.2922,44.73
2007-10-30,2037920.0,61631199.89,1.45,1.94,91.15,1.0,37588947.2,1512532.0,1242930.0,45742306.88,,,,0.06,,,,,660.0,,,,0.06,,,,,67.64,,,,21.7,21.7,5459130.0,165096143.25,,244.2,21.69,21.51,0.3714,56.09,0.2923,44.64
2007-10-31,2062949.0,62849334.69,1.52,1.96,92.05,1.0,38629380.76,1512532.0,1267960.0,46080455.65,,,,1.11,,,,,25029.0,,,,1.11,,,,,67.45,,,,21.7,21.7,5459130.0,166316612.05,,243.78,21.67,21.12,0.3612,55.25,0.2959,44.97
2007-11-01,2028344.0,60709496.2,1.68,1.93,91.27,1.0,35418492.07,1510532.0,1183355.0,45211086.84,,,,0.06,,,,0.0,395.0,2000.0,,,0.06,,,,85000.0,68.01,3.55,,,21.67,21.67,5460860.0,163446663.6,,245.48,21.7,22.44,0.3404,52.67,0.291,44.18
2007-11-02,2013871.0,60330884.42,1.72,1.92,89.52,1.0,35466347.21,1495532.0,1183882.0,44802655.31,,,,0.0,,5000.0,,2.09,1502.0,15000.0,,,0.0,,0.22,,5975.0,65.92,0.28,,,21.45,21.45,5476360.0,164058989.99,,242.1,21.4,22.02,0.343,53.09,0.2889,44.22
2007-11-05,1920114.0,57183930.57,1.7,1.83,85.0,1.0,33954665.63,1436989.0,1140125.0,42795729.43,,,,0.35,,,,2.32,8323.0,58543.0,,,0.35,,,,52080.0,63.6,2.86,,,20.61,20.61,5534903.0,164837873.63,,244.69,20.63,23.05,0.3237,50.69,0.2754,43.96
2007-11-06,1885613.0,56399152.4,1.66,1.77,82.74,1.0,32960913.8,1245839.0,1101994.0,37263353.42,,,,1.25,,,,8.98,30200.0,191150.0,,,1.25,,,,68331.0,54.62,3.08,,,17.86,17.86,5727922.0,171323567.37,,251.95,17.82,23.52,0.3404,52.18,0.2704,44.15
2007-11-07,1683962.0,50253637.82,1.46,1.58,74.18,1.0,26868486.96,1149839.0,900343.0,34314071.61,,,,,,,,4.0,,96000.0,,,,,,,201651.0,50.63,8.74,,,16.48,16.48,5828222.0,173928721.38,,257.44,16.43,27.37,0.2898,44.45,0.2413,44.05
2007-11-08,1587726.0,46962217.29,1.37,1.49,69.84,1.0,23784108.63,1149839.0,804107.0,34010269.39,,,,,,,,,,,,,,,,,96236.0,50.57,4.3,,,16.47,16.47,5830222.0,172447986.89,,256.89,16.45,29.71,0.2667,39.77,0.2275,43.66
2007-11-09,1589824.0,46302644.91,1.38,1.49,69.47,1.0,23480224.12,799839.0,806205.0,23294818.29,,,,0.05,,,,15.65,2098.0,350000.0,,,0.05,,,,,34.92,,,,11.48,11.48,6168822.0,179663141.68,,269.31,11.48,29.68,0.2655,39.61,0.2281,42.99
2007-11-12,1386770.0,40463981.68,1.15,1.3,60.03,1.0,17599090.7,949839.0,603151.0,27714954.82,,,150000.0,0.0,,,,,946.0,,,,0.0,150000.0,,,204000.0,41.05,9.06,,,13.53,13.53,6068822.0,177079618.27,,260.69,13.61,26.4,0.231,36.16,0.1976,43.07
2007-11-13,1362355.0,39825422.85,1.15,1.28,58.67,1.0,16918061.68,799839.0,578736.0,23381516.85,,,,,,,,6.73,,150000.0,,,,,,,24415.0,34.32,1.1,,,11.48,11.48,6168822.0,180331811.2,,265.82,11.43,27.29,0.2372,36.83,0.1955,43.15
2007-11-14,1432202.0,42168029.15,1.22,1.34,61.86,1.0,19096095.98,799839.0,648583.0,23549495.3,,,,3.12,,,,,71850.0,,,,3.12,,,,2003.0,34.44,0.07,,,11.58,11.48,6107067.0,179809118.62,,263.6,11.56,32.56,0.2464,34.27,0.2055,43.46
2007-11-15,1291381.0,37663168.55,1.07,1.21,56.26,1.0,14808895.12,799839.0,507762.0,23327330.25,,,,0.44,,,,,10000.0,,,,0.44,,,,150821.0,34.8,6.42,,,11.58,11.41,6107067.0,178112806.18,,265.37,11.59,20.27,0.2337,40.11,0.1842,43.05
2007-11-16,1292266.0,37618942.01,1.07,1.21,55.71,1.0,14807138.78,799839.0,508647.0,23283980.97,,,,0.01,,,,,1385.0,,,,0.01,,,,500.0,34.36,0.03,,,11.58,11.47,6107067.0,177781818.39,,262.98,11.56,20.29,0.2326,39.9,0.1854,42.97
2007-11-19,1262781.0,36281531.99,1.04,1.18,54.43,1.0,13767020.12,799839.0,479162.0,22980536.03,,,,0.03,,,,,714.0,,,,0.03,,,,30200.0,34.35,1.27,,,10.51,9.76,6807067.0,195576920.4,,292.52,10.51,20.98,0.2441,41.34,0.1541,42.41
2007-11-20,1263418.0,36753474.86,1.02,1.18,53.58,1.0,13957597.95,799839.0,479799.0,23267725.0,,,,0.0,,,,,887.0,,,,0.0,,,,250.0,33.66,0.02,,,10.51,9.71,6807067.0,198021055.46,,288.95,10.43,21.05,0.2417,40.96,0.1533,42.94
2007-11-21,1244610.0,35514929.28,1.0,1.17,53.46,1.0,13154371.86,799839.0,460991.0,22823394.9,,,,3.82,,,,,90000.0,,,,3.82,,,,108808.0,34.31,4.59,,,9.63,8.95,7507067.0,214214053.88,,322.39,9.62,15.31,0.2427,42.4,0.1392,42.12
2007-11-22,1244646.0,35617141.6,0.97,1.19,53.42,1.0,13192878.89,799839.0,461027.0,22888418.81,,,,0.0,,,,,35.0,,,,0.0,,,,,34.29,,,,9.63,8.95,7507067.0,214824350.33,,322.25,9.62,15.32,0.2429,42.42,0.1392,42.24
2007-11-23,1231031.0,35719582.13,0.97,1.18,52.16,1.0,12982101.73,799839.0,447412.0,23208119.74,,,,0.0,,,,,1386.0,,,,0.0,,,,15000.0,33.79,0.74,,,9.58,8.89,7547067.0,218985614.11,,318.78,9.58,14.1,0.2454,43.05,0.1368,42.83
2007-11-26,1237390.0,35619075.14,1.0,1.18,52.96,1.0,13062093.07,799839.0,453771.0,23023885.31,,,,0.32,,,,,7276.0,,,,0.32,,,,918.0,34.17,0.0,,,9.58,8.89,7547067.0,217247227.26,,323.32,9.56,13.89,0.2423,42.76,0.1375,42.49
2007-11-27,1264851.0,36323868.15,1.01,1.21,53.88,1.0,13819973.83,799839.0,481232.0,22969698.71,,,,1.19,,,,,28892.0,,,,1.19,,,,1431.0,34.03,0.08,,,9.58,8.89,7547067.0,216735937.01,,320.63,9.59,13.25,0.2288,41.4,0.1407,42.39
2007-11-28,1266702.0,37200850.05,0.98,1.21,53.8,1.0,14187313.39,799839.0,483083.0,23489890.05,,,,0.07,,,,,1852.0,,,,0.07,,,,,33.89,,,,9.58,8.89,7547067.0,221644323.41,,319.94,9.58,13.44,0.2277,41.21,0.1409,43.35
2007-11-29,1263515.0,37346931.12,0.96,1.21,54.85,1.0,14184748.78,799839.0,479896.0,23641612.52,,,,,,,,,,,,,,,,,3188.0,34.82,0.03,,,9.58,8.89,7547067.0,223075936.11,,327.02,9.62,13.13,0.2311,41.76,0.1405,43.63
2007-11-30,1322765.0,39519422.55,1.03,1.26,57.64,1.0,16107727.82,799839.0,539146.0,23896289.53,,,,2.54,,,,,60000.0,,,,2.54,,,,750.0,35.01,0.02,,,9.58,8.89,7547067.0,225479000.29,,328.77,9.62,12.2,0.2098,39.04,0.1471,44.1
2007-12-03,1326470.0,39396467.59,1.03,1.26,58.12,1.0,16122800.99,799839.0,542851.0,23755404.37,,,,0.19,,,,,3705.0,,,,0.19,,,,,35.22,,,,100.0,8.83,0.0,0.0,,0.0,100.0,12.55,0.209,38.85,0.1464,43.84
2007-12-04,1329208.0,39162612.89,1.04,1.27,57.86,1.0,16074753.39,799839.0,545589.0,23565751.28,,,,0.09,,,,,2738.0,,,,0.09,,,,,34.91,,,,100.0,8.83,0.0,0.0,,0.0,100.0,12.59,0.207,38.57,0.1467,43.49
2007-12-05,1301755.0,39015185.7,1.01,1.24,56.39,1.0,15529168.13,799839.0,518136.0,23972150.76,,,,0.0,,,,,547.0,,,,0.0,,,,28000.0,34.71,1.25,,,100.0,8.81,0.0,0.0,,0.0,100.0,13.05,0.2131,39.74,0.1434,44.24
2007-12-06,1122896.0,33639348.7,0.89,1.07,49.19,0.0,15466426.44,622839.0,516276.0,18658805.71,,,,,,,,7.17,,177000.0,,,,,,,1859.0,27.53,0.03,,,100.0,6.87,0.0,0.0,,0.0,100.0,16.28,0.1463,24.45,0.1238,44.22
2007-12-07,1078308.0,32632330.09,0.83,1.03,47.31,0.0,14274503.34,622839.0,471689.0,18848685.01,,,,,,,,,,,,,,,,,44588.0,27.52,1.91,,,100.0,6.86,0.0,0.0,,0.0,100.0,17.25,0.1542,26.08,0.1188,44.67
2007-12-10,1079149.0,32752822.55,0.83,1.05,47.75,0.0,14341570.29,622839.0,472530.0,18903539.03,,,,0.08,,,,,842.0,,,,0.08,,,,,27.82,,,,100.0,6.87,0.0,0.0,,0.0,100.0,17.39,0.1546,26.18,0.119,44.8
2007-12-11,1078851.0,32604909.37,0.83,1.05,47.91,0.0,14271740.55,622839.0,472232.0,18823367.77,,,,,,,,,,,,,,,,,298.0,27.97,0.0,,,100.0,6.87,0.0,0.0,,0.0,100.0,17.36,0.1549,26.3,0.1189,44.61
2007-12-12,1078301.0,32792831.61,0.79,1.05,47.97,0.0,14344592.47,622839.0,471682.0,18941514.89,,,,0.04,,,,,594.0,,,,0.04,,,,1144.0,28.05,0.05,,,100.0,6.87,0.0,0.0,,0.0,100.0,17.48,0.1552,26.37,0.1189,44.89
2007-12-13,1144712.0,33982702.57,0.8,1.11,51.07,1.0,13859821.81,694062.0,466870.0,20604398.76,,,71223.0,3.54,,,,,80187.0,,,,3.54,71223.0,,,85000.0,31.24,3.66,,,8.26,7.66,7707370.0,228806251.97,,345.9,8.28,17.87,0.1572,25.4,0.1263,43.82
2007-12-14,1144324.0,34071965.83,0.79,1.19,50.33,1.0,13889386.89,694062.0,466482.0,20665525.45,,,,,,,,,,,,,,,,,388.0,30.63,0.02,,,8.26,7.67,7707370.0,229485047.34,,337.52,8.32,17.97,0.1571,25.24,0.1265,43.95
2007-12-17,1144324.0,33490532.97,0.79,1.19,50.19,1.0,13652366.64,694062.0,466482.0,20312871.44,,,,,,,,,,,,,,,,,,30.51,,,,8.26,7.67,7707370.0,225568920.25,,338.73,8.26,18.11,0.1567,25.08,0.1265,43.2
2007-12-18,1144324.0,33506037.85,0.77,1.19,49.45,1.0,13658687.18,694062.0,466482.0,20322275.54,,,,,,,,,,,,,,,,,,29.98,,,,8.26,7.67,7707370.0,225673350.3,,332.96,8.26,17.94,0.1563,24.94,0.1265,43.22
2007-12-19,1195324.0,34966936.36,0.79,1.22,51.76,1.0,15137954.36,694062.0,517482.0,20303467.33,,,,2.24,,,,,51000.0,,,,2.24,,,,,30.03,,,,7.68,7.68,8349055.0,244235767.73,,360.81,7.68,16.58,0.1394,23.05,0.1322,43.18
2007-12-20,1195324.0,35088405.57,0.76,1.21,51.65,1.0,15190541.05,694062.0,517482.0,20373998.13,,,,,,,,,,,,,,,,,,30.03,,,,7.66,7.66,8361655.0,245454070.9,,361.01,7.68,16.37,0.1394,23.14,0.132,43.33
2007-12-21,1195324.0,35582380.35,0.77,1.21,51.73,1.0,15404393.58,1250386.0,517482.0,37221464.84,,,556324.0,,,,,,,,,,,556324.0,,,,54.14,,,,13.79,13.79,7818201.0,232732047.25,,338.82,13.78,16.33,0.1392,23.01,0.1318,43.94
2007-12-24,1195324.0,35582380.35,0.8,1.21,52.12,1.0,15404393.58,1250386.0,517482.0,37221464.84,,,,,,,,,,,,,,,,,,54.91,,,,13.79,13.79,7818201.0,232732047.25,,343.55,13.78,16.26,0.1397,23.32,0.1318,
2007-12-25,1194324.0,35552612.37,0.82,1.21,52.11,1.0,15374625.6,1250386.0,516482.0,37221464.84,,,,,,,,,,,,,,,,,1000.0,54.92,0.03,,,13.79,13.79,7818201.0,232732047.25,,343.54,13.78,16.27,0.1399,23.36,0.1317,
2007-12-26,1725728.0,51371435.76,1.19,1.74,75.54,1.0,31193448.99,1250386.0,1047886.0,37221464.84,,,,23.43,,,,,531404.0,,,,23.43,,,,,54.83,,,,13.79,13.79,7818201.0,232732047.25,,343.63,13.76,12.86,0.262,46.79,0.1903,
2007-12-27,1725728.0,51581878.6,1.19,1.74,75.85,1.0,31321232.8,1250386.0,1047886.0,37373942.39,,,,,,,,,,,,,,,,,,55.31,,,,13.79,13.79,7818201.0,233685432.97,,346.62,13.76,12.93,0.2614,46.69,0.1903,44.12
2007-12-28,1725728.0,52096294.43,1.19,1.74,75.52,1.0,31633593.24,1250386.0,1047886.0,37746665.3,,,,,,,,,,,,,,,,,,55.05,,,,13.59,13.59,7949273.0,239972734.26,,350.86,13.56,12.93,0.2599,46.51,0.1876,44.56
2007-12-31,1725728.0,51511730.99,1.24,1.74,76.69,1.0,31278638.2,1250386.0,1047886.0,37323116.54,,,,,,,,,,,,,,,,,,55.86,,,,13.59,13.59,7949273.0,237280042.0,,354.08,13.63,13.08,0.2626,46.82,0.1876,44.06
2008-01-01,1615728.0,48228310.65,1.19,1.63,71.37,1.0,31278638.2,1140386.0,1047886.0,34039696.21,,,,,,,,5.63,,110000.0,,,,,,,,50.23,,,,12.4,12.4,8059273.0,240563462.34,,355.14,12.39,12.84,0.2634,46.96,0.1756,
2008-01-02,1615728.0,47549655.35,1.19,1.63,70.84,1.0,30838493.95,1140386.0,1047886.0,33560699.12,,,,,,,,,,,,,,,,,,50.1,,,,12.39,12.39,8062273.0,237266608.29,,355.35,12.36,12.84,0.2623,46.82,0.1756,43.44
2008-01-03,1670648.0,49165909.49,1.21,1.69,72.53,1.0,32454748.09,1140386.0,1102806.0,33560699.12,,,,0.2,,50000.0,,,4920.0,,,,0.2,,2.17,,,49.49,,,,12.39,12.39,8062273.0,237266608.29,,350.27,12.38,12.3,0.2407,44.58,0.1815,43.44
2008-01-04,1751182.0,50788550.47,1.26,1.77,76.08,1.0,31653378.77,1232322.0,1091404.0,35740344.57,,,91936.0,,,,,,,,,,,91936.0,,,11402.0,53.53,0.49,,,13.39,13.39,7970771.0,231171805.8,,346.23,13.39,12.44,0.2441,44.96,0.1903,42.81
2008-01-07,1674772.0,48719972.8,1.18,1.67,71.92,1.0,31959533.24,1148692.0,1098624.0,33416036.93,,,,0.51,,,,4.31,12140.0,83630.0,,,0.51,,,,4920.0,49.22,0.22,,,12.48,12.48,8058401.0,234423000.59,,344.94,12.49,12.36,0.2405,44.55,0.1819,42.94
2008-01-08,1670508.0,48743054.08,1.18,1.65,71.76,1.0,31529208.19,1162492.0,1080560.0,33919867.74,,,13800.0,,,,,,,,,,,13800.0,,,18064.0,49.89,0.87,,,12.14,12.14,8415601.0,245555300.95,,361.4,12.13,12.52,0.2461,45.33,0.1744,43.07
2008-01-09,1618370.0,46772219.16,1.14,1.59,69.68,1.0,29722238.53,1162492.0,1028422.0,33596971.4,,,,,,,,,,,,,,,,,52138.0,50.11,2.24,,,12.23,12.23,8344553.0,241164419.58,,359.34,12.24,13.16,0.267,47.41,0.1702,42.66
2008-01-10,1770771.0,50888818.84,1.17,1.73,75.52,1.0,29411362.42,1319892.0,1023423.0,37931355.82,,,157400.0,,,,,,,,,,,157400.0,,,4999.0,56.15,0.22,,,13.88,13.88,8186802.0,235274173.69,,349.4,13.84,13.01,0.2684,47.62,0.1863,42.42
2008-01-11,1920601.0,55129610.01,1.27,1.88,81.78,1.0,33677468.84,1319892.0,1173253.0,37886646.53,,,,,,157400.0,,,,,,,,,6.68,,7570.0,56.01,0.33,,,13.89,13.89,8183602.0,234905004.61,,347.13,13.89,11.79,0.2251,42.28,0.2021,42.37
2008-01-14,2070601.0,59617622.82,1.39,2.0,87.79,1.0,38099662.01,1319892.0,1323253.0,38002890.67,,,,6.38,,,,,150000.0,,,,6.38,,,,,55.83,,,,13.89,13.89,8183602.0,235625742.17,,346.84,13.87,16.46,0.204,37.87,0.2179,42.5
2008-01-15,2142771.0,60287461.39,1.45,2.07,91.17,1.0,36025059.22,1434892.0,1280423.0,40371087.74,,,115000.0,1.51,,,,,35000.0,,,,1.51,115000.0,,,77830.0,61.04,3.3,,,15.09,15.09,8072602.0,227124915.07,,342.98,15.11,16.83,0.2183,39.01,0.2254,41.53
2008-01-16,2113771.0,58884412.57,1.39,2.05,88.34,1.0,33719379.87,1475892.0,1210423.0,41114687.18,,,41000.0,,,,,,,,,,,41000.0,,,70000.0,61.42,3.0,,,15.53,15.53,8029602.0,223684778.03,,333.33,15.56,13.97,0.2238,40.74,0.2224,41.12
2008-01-17,2148781.0,59306526.06,1.34,2.08,88.99,1.0,34374049.6,1475892.0,1245433.0,40734736.28,,,,1.51,,,,,35010.0,,,,1.51,,,,,60.68,,,,15.53,15.53,8026602.0,221534851.92,,330.04,15.53,15.1,0.2191,39.63,0.2261,40.74
2008-01-18,3011381.0,81890284.46,1.75,2.81,123.33,1.0,49912027.23,1748492.0,1835433.0,47547788.63,,,272600.0,17.45,,160000.0,,,430000.0,,,,17.45,272600.0,6.58,,,71.25,,,,18.4,18.4,7754002.0,210859213.59,,315.83,18.41,27.97,0.2025,31.02,0.3169,40.14
2008-01-21,2962981.0,74732792.13,1.55,2.66,120.11,1.0,45072839.05,1748492.0,1787033.0,44100751.63,,,,1.64,,,,,41000.0,,,,1.64,,,,89400.0,70.37,3.96,,,19.09,19.09,7412290.0,186953992.54,,297.16,19.15,27.07,0.1885,28.52,0.3234,37.23
2008-01-22,2859035.0,72963288.19,1.2,2.56,107.93,1.0,39813810.39,1871492.0,1560087.0,47760943.86,,,123000.0,,,,,,,,,,,123000.0,,,226946.0,69.48,10.94,,,20.7,20.7,7170677.0,182997470.28,,267.19,20.64,29.18,0.2168,31.98,0.3162,37.67
2008-01-23,2859035.0,69670546.22,1.05,2.5,109.02,1.0,38017062.9,1651492.0,1560087.0,40244470.5,,,,,,,,7.22,,220000.0,,,,,,,,62.26,,,,17.95,17.95,7549677.0,183974704.88,,283.98,17.98,29.32,0.2184,32.13,0.3107,35.97
