,LEM FP Equity_DX_SI_QTY,LEM FP Equity_DX_SHORT_INTEREST_VALUE,LEM FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,LEM FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,LEM FP Equity_DX_SI_MV,LEM FP Equity_DX_DSS,LEM FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,LEM FP Equity_DX_SUPPLY_SI_QTY,LEM FP Equity_DX_BROKER_SI_QTY,LEM FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,LEM FP Equity_DX_BROKER_SI_MV_NEW_x,LEM FP Equity_DX_SUPPLY_SI_QTY_NEW_x,LEM FP Equity_DX_SUPPLY_SI_QTY_INC_x,LEM FP Equity_DX_BROKER_SI_MV_INC_x,LEM FP Equity_DX_SUPPLY_SI_MV_NEW,LEM FP Equity_DX_BROKER_SI_QTY_ADD,LEM FP Equity_DX_BROKER_SI_QTY_NEW,LEM FP Equity_DX_SUPPLY_SI_MV_DEC,LEM FP Equity_DX_BROKER_SI_QTY_INC,LEM FP Equity_DX_SUPPLY_SI_QTY_DEC,LEM FP Equity_DX_BROKER_SI_MV_NEW_y,LEM FP Equity_DX_SUPPLY_SI_QTY_NEW_y,LEM FP Equity_DX_BROKER_SI_MV_INC_y,LEM FP Equity_DX_SUPPLY_SI_QTY_INC_y,LEM FP Equity_DX_BROKER_SI_MV_ADD,LEM FP Equity_DX_SUPPLY_SI_QTY_ADD,LEM FP Equity_DX_BROKER_SI_QTY_DEC,LEM FP Equity_DX_SUPPLY_SI_MV,LEM FP Equity_DX_BROKER_SI_MV_DEC,LEM FP Equity_DX_SUPPLY_SI_MV_RMV,LEM FP Equity_DX_BROKER_SI_MV_RMV,LEM FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,LEM FP Equity_DX_UTILIZATION_QUANTITY,LEM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,LEM FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,LEM FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,LEM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,LEM FP Equity_DX_ACTIVE_UTILIZATION_MV,LEM FP Equity_DX_BROKER_SI_MARKET_SHARE_2,LEM FP Equity_DX_BROKER_SI_CON_RATIO,LEM FP Equity_DX_BROKER_SI_MARKET_SHARE_1,LEM FP Equity_DX_DEMAND_SUPPLY_RATIO,LEM FP Equity_PX_LAST
2010-02-12,1011567.0,6593956.22,2.92,0.84,6.86,5.0,6593956.22,145000.0,1011567.0,945190.63,,,,,,,,,,,,,,,,,47200.0,0.99,0.31,,,100.0,4.33,0.0,0.0,,0.0,100.0,16.55,0.5033,68.13,0.3021,6.765
2010-02-15,954168.0,6293350.29,2.72,0.8,6.44,5.0,6206940.79,158101.0,941067.0,1042777.56,,,,,,,,,,,,,,,,13101.0,70500.0,1.07,0.48,,,100.0,4.69,0.0,0.0,,0.0,100.0,17.62,0.5601,72.19,0.2833,6.845
2010-02-16,941067.0,6238678.25,2.76,0.79,6.4,5.0,6238678.25,145000.0,941067.0,961258.17,,,,,,,,0.09,,13101.0,,,,,,,,0.99,,,,100.0,4.32,0.0,0.0,,0.0,100.0,17.74,0.5765,73.28,0.2807,6.88
2010-02-17,901790.0,6056501.07,2.62,0.76,6.19,5.0,5968513.6,158101.0,888689.0,1061820.24,,,,,,,,,,,,,,,,13101.0,52378.0,1.09,0.34,,,100.0,4.59,0.0,0.0,,0.0,100.0,12.92,0.6075,76.28,0.2617,6.97
2010-02-18,815652.0,5517287.6,2.44,0.69,5.67,5.0,5428668.94,158101.0,802551.0,1069437.32,,,,0.17,,,,,23862.0,,,,0.17,,,,110000.0,1.1,0.7,,,100.0,4.69,0.0,0.0,,0.0,100.0,17.09,0.5437,70.96,0.2418,7.02
2010-02-19,815652.0,5533006.37,2.46,0.69,5.7,5.0,5444135.24,158101.0,802551.0,1072484.15,,,,,,,,,,,,,,,,,,1.11,,,,100.0,4.69,0.0,0.0,,0.0,100.0,17.02,0.5446,71.04,0.2418,7.04
2010-02-22,815652.0,5493709.45,2.58,0.69,5.72,5.0,5405469.5,158101.0,802551.0,1064867.07,,,,,,,,,,,,,,,,,,1.11,,,,100.0,4.65,0.0,0.0,,0.0,100.0,16.99,0.5446,71.05,0.2398,6.99
2010-02-23,815652.0,5450482.83,2.8,0.69,5.68,5.0,5362937.2,158101.0,802551.0,1056488.29,,,,,,,,,,,,,,,,,,1.11,,,,100.0,4.65,0.0,0.0,,0.0,100.0,17.06,0.5441,71.0,0.2398,6.935
2010-02-24,781963.0,5229128.09,2.59,0.66,5.41,5.0,5141519.33,158101.0,768862.0,1057250.0,,,,,,,,,,,,,,,,,33689.0,1.1,0.24,,,100.0,4.65,0.0,0.0,,0.0,100.0,13.53,0.5781,74.02,0.2299,6.94
2010-02-25,536377.0,3509324.49,1.77,0.45,3.72,5.0,3423609.29,158101.0,523276.0,1034398.77,,,,,,,,,,,,,,,,,245586.0,1.1,1.69,,,100.0,4.65,0.0,0.0,,0.0,100.0,5.63,0.8488,91.93,0.1577,6.79
2010-02-26,512515.0,3392711.44,1.4,0.42,3.48,5.0,3305986.34,158101.0,499414.0,1046586.09,,,,,,,,,,,,,,,,,23862.0,1.07,0.17,,,100.0,4.7,0.0,0.0,,0.0,100.0,2.56,0.9256,96.17,0.1525,6.87
2010-03-01,393000.0,2690544.86,0.85,0.33,2.67,5.0,2690544.86,145000.0,393000.0,992694.67,,,,,,,,0.09,,13101.0,,,,,,,106414.0,1.0,0.72,,,100.0,3.4,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0921,7.105
2010-03-02,24095.0,165887.16,0.05,0.02,0.17,2.0,165887.16,0.0,24095.0,0.0,,,,,,21095.0,,1.0,,145000.0,,,,,0.15,,390000.0,0.0,2.65,,,0.0,0.0,0.0,0.0,,0.0,0.0,12.53,0.7808,87.47,0.0056,7.145
2010-03-03,24095.0,165654.99,0.05,0.02,0.17,2.0,165654.99,0.0,24095.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,12.45,0.782,87.55,0.0056,7.135
2010-03-04,24095.0,164610.21,0.05,0.02,0.17,2.0,164610.21,0.0,24095.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,12.44,0.7822,87.56,0.0056,7.09
2010-03-05,224095.0,1562263.58,0.46,0.19,1.59,5.0,1562263.58,170000.0,224095.0,1185143.84,,,,1.42,,,,,200000.0,,,,1.42,,,170000.0,,1.21,,,,100.0,3.94,0.0,0.0,,0.0,100.0,9.48,0.8284,90.52,0.0519,7.235
2010-03-08,373000.0,2614721.48,0.78,0.32,2.67,5.0,2614721.48,170000.0,373000.0,1191696.12,,,,1.08,,,,,148905.0,,,,1.08,,,,,1.23,,,,100.0,3.94,0.0,0.0,,0.0,100.0,22.54,0.6508,77.46,0.0864,7.275
2010-03-09,373000.0,2634489.14,0.81,0.32,2.68,5.0,2634489.14,170000.0,373000.0,1200705.5,,,,,,,,,,,,,,,,,,1.24,,,,100.0,3.94,0.0,0.0,,0.0,100.0,22.47,0.6516,77.53,0.0864,7.33
2010-03-10,373000.0,2641677.37,0.78,0.32,2.69,5.0,2641677.37,170000.0,373000.0,1203981.64,,,,,,,,,,,,,,,,,,1.25,,,,100.0,5.13,0.0,0.0,,0.0,100.0,22.38,0.6526,77.62,0.1125,7.35
2010-03-11,373000.0,2609330.3,0.79,0.32,2.69,5.0,2609330.3,170000.0,373000.0,1189239.01,,,,,,,,,,,,,,,,,,1.25,,,,100.0,19.98,0.0,0.0,,0.0,100.0,22.38,0.6526,77.62,0.4384,7.26
2010-03-12,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,1.25,,170000.0,,,,,,,373000.0,0.0,2.69,,,0.0,0.0,850774.0,5939312.88,,6.18,0.0,,0.0,,0.0,7.245
2010-03-15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,853774.0,5931462.58,,6.18,0.0,,0.0,,0.0,7.21
2010-03-16,13900.0,97170.81,0.03,0.01,0.1,1.0,0.0,13900.0,0.0,97170.81,,,,,,,,,,,,,,,,13900.0,,0.1,,,,100.0,1.63,0.0,0.0,,0.0,100.0,,0.0,,0.0163,7.255
2010-03-17,27800.0,197422.16,0.06,0.02,0.2,2.0,98711.08,13900.0,13900.0,98711.08,,,,,,13900.0,,,,,,,,,0.1,,,0.1,,,,100.0,1.63,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0326,7.37
2010-03-18,27800.0,197020.35,0.06,0.02,0.2,2.0,98510.17,13900.0,13900.0,98510.17,,,,,,,,,,,,,,,,,,0.1,,,,100.0,1.63,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0326,7.355
2010-03-19,27800.0,197154.28,0.06,0.02,0.2,2.0,98577.14,13900.0,13900.0,98577.14,,,,,,,,,,,,,,,,,,0.1,,,,100.0,1.61,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0323,7.36
2010-03-22,27800.0,197154.28,0.07,0.02,0.2,2.0,98577.14,13900.0,13900.0,98577.14,,,,,,,,,,,,,,,,,,0.1,,,,100.0,3.98,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0797,7.36
2010-03-23,27800.0,197556.09,0.06,0.02,0.2,2.0,98778.05,13900.0,13900.0,98778.05,,,,,,,,,,,,,,,,,,0.1,,,,100.0,3.98,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0797,7.375
2010-03-24,13900.0,99782.57,0.03,0.01,0.1,1.0,99782.57,0.0,13900.0,0.0,,,,,,,,0.1,,13900.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0398,7.45
2010-03-25,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,13900.0,0.0,0.1,,,0.0,0.0,348949.0,2513371.93,,2.59,0.0,,0.0,,0.0,7.475
2010-03-26,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,348949.0,2483110.6,,2.59,0.0,,0.0,,0.0,7.385
2010-03-29,20000.0,143957.47,0.04,0.02,0.15,2.0,0.0,20000.0,0.0,143957.47,,,,,,,,,,,,,,,,20000.0,,0.15,,,,100.0,5.73,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0573,7.47
2010-03-30,61580.0,446211.88,0.13,0.05,0.46,5.0,446211.88,20000.0,61580.0,144921.04,,,,,,61580.0,,,,,,,,,0.46,,,0.15,,,,100.0,5.73,0.0,0.0,,0.0,100.0,32.42,0.5618,67.58,0.1765,7.52
2010-03-31,61580.0,446211.88,0.12,0.05,0.46,5.0,446211.88,20000.0,61580.0,144921.04,,,,,,,,,,,,,,,,,,0.15,,,,100.0,5.73,0.0,0.0,,0.0,100.0,32.57,0.5608,67.43,0.1765,7.52
2010-04-01,61580.0,453925.65,0.12,0.05,0.46,5.0,453925.65,20000.0,61580.0,147426.32,,,,,,,,,,,,,,,,,,0.15,,,,100.0,5.73,0.0,0.0,,0.0,100.0,32.55,0.5609,67.45,0.1765,7.65
2010-04-02,61580.0,453925.65,0.12,0.05,0.46,5.0,453925.65,20000.0,61580.0,147426.32,,,,,,,,,,,,,,,,,,0.15,,,,100.0,5.73,0.0,0.0,,0.0,100.0,32.93,0.5583,67.07,0.1765,
2010-04-05,61580.0,453925.65,0.12,0.05,0.46,5.0,453925.65,20000.0,61580.0,147426.32,,,,,,,,,,,,,,,,,,0.15,,,,100.0,5.73,0.0,0.0,,0.0,100.0,32.93,0.5583,67.07,0.1765,
2010-04-06,61580.0,466683.04,0.12,0.05,0.46,5.0,466683.04,20000.0,61580.0,151569.68,,,,,,,,,,,,,,,,,,0.15,,,,100.0,5.73,0.0,0.0,,0.0,100.0,32.93,0.5583,67.07,0.1765,7.865
2010-04-07,79200.0,598689.63,0.15,0.07,0.62,5.0,598689.63,79200.0,79200.0,598689.63,,,,0.47,,,,,59200.0,,,,0.47,,,59200.0,41580.0,0.62,0.31,,,34.62,22.7,149568.0,1130616.29,,1.18,34.44,,1.0,100.0,0.227,7.845
2010-04-08,79200.0,593347.59,0.15,0.07,0.62,5.0,593347.59,79200.0,79200.0,593347.59,,,,,,,,,,,,,,,,,,0.62,,,,34.62,22.97,149568.0,1120527.94,,1.17,34.45,,1.0,100.0,0.2297,7.775
2010-04-09,139550.0,1050181.78,0.27,0.11,1.07,5.0,1050181.78,79200.0,139550.0,596018.61,,,,,,60350.0,,,,,,,,,0.46,,,0.62,,,,34.62,22.97,149568.0,1125572.12,,1.16,34.64,35.07,0.4584,57.43,0.4048,7.81
2010-04-12,139550.0,1037407.48,0.26,0.11,1.08,5.0,1037407.48,59200.0,139550.0,440089.74,,,,,,,,0.16,,20000.0,,,,,,,,0.46,,,,28.36,17.17,149568.0,1111880.78,,1.17,28.36,34.98,0.459,57.54,0.4048,7.715
2010-04-13,145850.0,1075106.47,0.31,0.12,1.12,5.0,638724.55,59200.0,86650.0,436381.92,0.0,,,,,25800.0,500.0,,,,0.0,,,,0.2,,79200.0,0.46,0.62,,,28.36,17.17,149568.0,1102513.02,,1.15,28.36,33.65,0.3016,40.88,0.4231,7.65
2010-04-14,286650.0,2135084.39,0.74,0.23,2.19,5.0,2135084.39,0.0,286650.0,0.0,,,,,,200000.0,,0.46,,59200.0,,,,,1.53,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,17.17,0.5232,69.87,0.6837,7.73
2010-04-15,236650.0,1774065.75,0.62,0.19,1.83,5.0,1774065.75,0.0,236650.0,0.0,,,,,,,,,,,,,,,,,50000.0,0.0,0.38,,,0.0,0.0,0.0,0.0,,0.0,0.0,5.5,0.721,84.44,0.5644,7.78
2010-04-16,236650.0,1739861.4,0.64,0.19,1.84,5.0,1739861.4,0.0,236650.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,5.47,0.7219,84.5,0.5644,7.63
2010-04-19,236650.0,1721619.08,0.6,0.19,1.81,5.0,1721619.08,0.0,236650.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,5.57,0.7192,84.33,0.5644,7.55
2010-04-20,1035050.0,7649627.7,2.71,0.82,7.83,5.0,7649627.7,0.0,1035050.0,0.0,,,,6.02,,,,,798400.0,,,,6.02,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,14.74,0.5339,70.23,2.4687,7.67
2010-04-21,1035050.0,7644640.98,2.72,0.82,7.94,5.0,7644640.98,0.0,1035050.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,14.78,0.5358,70.39,2.4687,7.665
2010-04-22,1084712.0,8000981.11,2.85,0.86,8.35,5.0,8000981.11,0.0,1084712.0,0.0,,,,0.38,,,,,49662.0,,,,0.38,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,17.4,0.5032,67.31,2.5871,7.655
2010-04-23,1084712.0,8027111.03,2.99,0.86,8.31,5.0,8027111.03,0.0,1084712.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,17.49,0.5018,67.17,2.5871,7.68
2010-04-26,1055050.0,7970264.06,2.88,0.84,8.1,5.0,7819176.16,20000.0,1035050.0,151087.89,,,,,,,,,,,,,,,,20000.0,49662.0,0.15,0.38,,,100.0,4.77,0.0,0.0,,0.0,100.0,14.5,0.5163,69.08,2.5164,7.84
2010-04-27,1165050.0,8514982.4,3.13,0.92,9.12,5.0,8441895.56,30000.0,1155050.0,219260.52,,,,0.71,,30000.0,,,90000.0,,,,0.71,,0.25,10000.0,,0.23,,,,100.0,7.16,0.0,0.0,,0.0,100.0,13.14,0.4317,62.61,2.7787,7.585
2010-04-28,1165050.0,8397108.55,3.1,0.92,8.89,5.0,8325033.46,30000.0,1155050.0,216225.27,,,,,,,,,,,,,,,,,,0.23,,,,100.0,7.16,0.0,0.0,,0.0,100.0,13.05,0.4275,62.2,2.7787,7.48
2010-04-29,1165050.0,8683373.62,2.88,0.92,8.79,5.0,8608841.42,30000.0,1155050.0,223596.59,,,,,,,,,,,,,,,,,,0.23,,,,100.0,7.17,0.0,0.0,,0.0,100.0,13.02,0.4257,62.01,2.786,7.735
2010-04-30,1165050.0,8655308.41,2.77,0.92,9.02,5.0,8581017.11,30000.0,1155050.0,222873.91,,,,,,,,,,,,,,,,,,0.23,,,,100.0,7.17,0.0,0.0,,0.0,100.0,13.12,0.431,62.53,2.786,7.71
2010-05-03,1165050.0,8677760.58,2.76,0.92,9.0,5.0,8603276.56,30000.0,1155050.0,223452.06,,,,,,,,,,,,,,,,,,0.23,,,,100.0,7.17,0.0,0.0,,0.0,100.0,13.1,0.4296,62.4,2.786,7.73
2010-05-04,1139250.0,8266042.21,2.58,0.9,8.82,5.0,8193485.34,30000.0,1129250.0,217670.63,,,,,,,,,,,,,,,,,25800.0,0.24,0.2,,,100.0,7.17,0.0,0.0,,0.0,100.0,12.27,0.4447,63.84,2.7243,7.53
2010-05-05,1139250.0,8244087.26,2.42,0.87,8.84,5.0,8171723.09,30000.0,1129250.0,217092.49,,,,,,,,,,,,,,,,,,0.23,,,,100.0,7.17,0.0,0.0,,0.0,100.0,12.13,0.45,64.34,2.7243,7.51
2010-05-06,860850.0,6179699.57,1.87,0.66,6.53,5.0,6107913.55,30000.0,850850.0,215358.06,,,,,,,,,,,,,,,,,278400.0,0.23,2.31,,,100.0,7.17,0.0,0.0,,0.0,100.0,16.42,0.334,51.76,2.0586,7.45
2010-05-07,860850.0,6067718.44,1.85,0.66,6.5,5.0,5997233.24,30000.0,850850.0,211455.6,,,,,,,,,,,,,,,,,,0.22,,,,100.0,7.17,0.0,0.0,,0.0,100.0,16.49,0.335,51.86,2.0586,7.315
2010-05-10,520850.0,3824293.76,1.1,0.4,3.93,5.0,3750869.67,30000.0,510850.0,220272.27,,,,,,,,,,,,,,,,,340000.0,0.22,2.55,,,100.0,7.14,0.0,0.0,,0.0,100.0,26.08,0.2222,27.3,1.2397,7.62
2010-05-11,694850.0,5111916.0,1.49,0.53,5.25,5.0,5038347.37,280000.0,684850.0,2059921.54,,,,1.26,,,,,174000.0,,,,1.26,,,250000.0,,2.13,,,,100.0,66.45,0.0,0.0,,0.0,100.0,20.44,0.261,39.68,1.649,7.635
2010-05-12,654850.0,4871276.01,1.31,0.5,5.03,5.0,4796888.35,280000.0,644850.0,2082854.52,,,,,,,,,,,,,,,,,40000.0,2.13,0.3,,,100.0,66.45,0.0,0.0,,0.0,100.0,21.32,0.2767,43.12,1.5541,7.72
2010-05-13,614500.0,4615530.36,1.16,0.47,4.76,5.0,4540420.02,280000.0,604500.0,2103089.51,,,,,,,,,,,,,,,,,40350.0,2.15,0.31,,,100.0,66.45,0.0,0.0,,0.0,100.0,16.22,0.2893,46.07,1.4583,7.795
2010-05-14,451700.0,3336152.2,0.86,0.35,3.53,5.0,3262294.5,280000.0,441700.0,2068015.53,,,,,,,,,,,,,,,,,162800.0,2.18,1.25,,,100.0,66.45,0.0,0.0,,0.0,100.0,19.99,0.4409,62.64,1.072,7.665
2010-05-17,451700.0,3320918.63,0.87,0.35,3.49,5.0,3247398.18,260000.0,441700.0,1911531.64,,,,,,,,0.16,,20000.0,,,,,,,,1.99,,,,100.0,61.7,0.0,0.0,,0.0,100.0,20.25,0.4391,62.41,1.072,7.63
2010-05-18,509100.0,3765000.92,0.99,0.39,3.91,5.0,3691046.87,260000.0,499100.0,1922805.42,,,,0.6,,,,,77900.0,,,,0.6,,,,20500.0,1.98,0.16,,,100.0,61.7,0.0,0.0,,0.0,100.0,33.39,0.4217,55.39,1.2082,7.675
2010-05-19,587000.0,4165762.04,1.15,0.45,4.53,5.0,4094795.05,260000.0,577000.0,1845141.62,,,,0.61,,,,,77900.0,,,,0.61,,,,,2.0,,,,100.0,61.7,0.0,0.0,,0.0,100.0,28.85,0.462,61.33,1.3931,7.365
2010-05-20,587000.0,4010217.63,1.13,0.45,4.4,5.0,3941900.46,260000.0,577000.0,1776246.31,,,,,,,,,,,,,,,,,,1.92,,,,100.0,61.7,0.0,0.0,,0.0,100.0,29.68,0.4575,60.57,1.3931,7.09
2010-05-21,587000.0,4010217.63,1.09,0.45,4.29,5.0,3941900.46,260000.0,577000.0,1776246.31,,,,,,,,,,,,,,,,,,1.84,,,,100.0,61.7,0.0,0.0,,0.0,100.0,30.47,0.4537,59.85,1.3931,7.09
2010-05-24,587000.0,4083747.71,1.06,0.45,4.29,5.0,4014177.91,260000.0,577000.0,1808815.0,,,,,,,,,,,,,,,,,,1.84,,,,100.0,61.7,0.0,0.0,,0.0,100.0,30.45,0.453,59.8,1.3931,7.22
2010-05-25,587000.0,3936687.55,1.06,0.45,4.34,5.0,3869623.02,260000.0,577000.0,1743677.62,,,,,,,,,,,,,,,,,,1.88,,,,100.0,61.7,0.0,0.0,,0.0,100.0,30.09,0.4554,60.19,1.3931,6.96
2010-05-26,587000.0,4117684.67,1.01,0.45,4.24,5.0,4047536.72,260000.0,577000.0,1823846.7,,,,,,,,,,,,,,,,,,1.81,,,,100.0,61.7,0.0,0.0,,0.0,100.0,30.83,0.4509,59.44,1.3931,7.28
2010-05-27,363200.0,2600268.88,0.64,0.28,2.72,5.0,1354545.35,174000.0,189200.0,1245723.53,,,,,,,,0.55,,86000.0,,,,,,,387800.0,1.27,2.72,,,59.32,41.29,119316.0,854222.69,,0.87,59.32,40.63,0.3638,43.82,0.8619,7.43
2010-05-28,147200.0,1049598.34,0.25,0.12,1.14,5.0,978294.1,10000.0,137200.0,71304.24,,,,,,,,1.19,,164000.0,,,,,,,52000.0,0.07,0.4,,,100.0,2.37,0.0,0.0,,0.0,100.0,12.62,0.4258,62.18,0.3493,7.4
2010-05-31,147200.0,1068746.42,0.26,0.12,1.14,5.0,996141.36,10000.0,137200.0,72605.06,,,,,,,,,,,,,,,,,,0.07,,,,100.0,2.37,0.0,0.0,,0.0,100.0,12.63,0.4261,62.21,0.3493,7.535
2010-06-01,147200.0,1054562.66,0.26,0.12,1.14,5.0,982921.17,10000.0,137200.0,71641.48,,,,,,,,,,,,,,,,,,0.08,,,,100.0,1.95,0.0,0.0,,0.0,100.0,12.57,0.423,61.92,0.2875,7.435
2010-06-02,147200.0,1060236.16,0.25,0.12,1.14,5.0,988209.25,10000.0,137200.0,72026.91,,,,,,,,,,,,,,,,,,0.07,,,,100.0,2.37,0.0,0.0,,0.0,100.0,12.6,0.4247,62.08,0.3493,7.475
2010-06-03,148900.0,1083958.79,0.26,0.12,1.15,5.0,1011161.02,10000.0,138900.0,72797.77,,,,0.01,,,,,1700.0,,,,0.01,,,,,0.07,,,,100.0,2.89,0.0,0.0,,0.0,100.0,13.56,0.4179,61.36,0.4299,7.555
2010-06-04,224400.0,1629257.45,0.39,0.18,1.73,5.0,1556652.39,10000.0,214400.0,72605.06,,,,,,75500.0,,,,,,,,,0.58,,,0.08,,,,100.0,2.89,0.0,0.0,,0.0,100.0,33.25,0.2957,40.81,0.6479,7.535
2010-06-07,224400.0,1611959.42,0.39,0.18,1.73,5.0,1540125.23,10000.0,214400.0,71834.2,,,,,,,,,,,,,,,,,,0.08,,,,100.0,2.89,0.0,0.0,,0.0,100.0,33.33,0.2961,40.81,0.6479,7.455
2010-06-08,274400.0,1965842.34,0.47,0.22,2.09,5.0,1894200.86,10000.0,264400.0,71641.48,,,,0.36,,,,,50000.0,,,,0.36,,,,,0.07,,,,100.0,2.89,0.0,0.0,,0.0,100.0,33.78,0.3292,45.01,0.7922,7.435
2010-06-09,274400.0,1998892.82,0.47,0.22,2.09,5.0,1926046.87,10000.0,264400.0,72845.95,,,,,,,,,,,,,,,,,,0.07,,,,100.0,2.89,0.0,0.0,,0.0,100.0,33.83,0.3291,44.96,0.7922,7.56
2010-06-10,274400.0,2009468.97,0.49,0.22,2.09,5.0,1936237.6,10000.0,264400.0,73231.38,,,,,,,,,,,,,,,,,,0.08,,,,100.0,2.89,0.0,0.0,,0.0,100.0,33.74,0.328,44.89,0.7922,7.6
2010-06-11,274400.0,2022689.16,0.52,0.22,2.1,5.0,1948976.0,10000.0,264400.0,73713.16,,,,,,,,,,,,,,,,,,0.08,,,,100.0,2.89,0.0,0.0,,0.0,100.0,33.65,0.3286,45.03,0.7922,7.65
2010-06-14,274400.0,2030621.28,0.51,0.22,2.11,5.0,1956619.04,10000.0,264400.0,74002.23,,,,,,,,,,,,,,,,,,0.08,,,,100.0,2.89,0.0,0.0,,0.0,100.0,33.41,0.3292,45.29,0.7922,7.68
2010-06-15,162700.0,1203232.47,0.31,0.13,1.24,5.0,1203232.47,0.0,162700.0,0.0,,,,,,,,0.08,,10000.0,,,,,,,101700.0,0.0,0.8,,,0.0,0.0,0.0,0.0,,0.0,0.0,11.53,0.6192,76.99,0.4697,7.675
2010-06-16,162700.0,1213422.71,0.32,0.14,1.24,5.0,1213422.71,0.0,162700.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,11.52,0.6194,77.0,0.4697,7.74
2010-06-17,162700.0,1207151.79,0.33,0.14,1.25,5.0,1207151.79,0.0,162700.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,11.49,0.6202,77.07,0.4697,7.7
2010-06-18,162700.0,1214206.58,0.33,0.14,1.25,5.0,1214206.58,0.0,162700.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,11.46,0.6207,77.1,0.4697,7.745
2010-06-21,167657.0,1282702.08,0.36,0.14,1.29,5.0,1282702.08,0.0,167657.0,0.0,,,,0.04,,,,,4957.0,,,,0.04,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,14.07,0.5915,74.78,0.3979,7.94
2010-06-22,167657.0,1278663.34,0.38,0.14,1.3,5.0,1278663.34,0.0,167657.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,13.96,0.5905,74.71,0.3979,7.915
2010-06-23,37700.0,283347.61,0.09,0.03,0.29,3.0,283347.61,0.0,37700.0,0.0,,,,,,,,,,,,,,,,,129957.0,0.0,1.01,,,0.0,0.0,0.0,0.0,,0.0,0.0,48.68,0.4869,49.97,0.0895,7.8
2010-06-24,37700.0,278806.79,0.1,0.03,0.29,3.0,278806.79,0.0,37700.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,49.04,0.4868,49.61,0.0811,7.675
2010-06-25,37700.0,279896.58,0.09,0.03,0.29,3.0,279896.58,0.0,37700.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,49.21,0.4867,49.44,0.0811,7.705
2010-06-28,37700.0,282076.18,0.09,0.03,0.29,3.0,282076.18,0.0,37700.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,49.31,0.4868,49.35,0.0811,7.765
2010-06-29,37700.0,274447.59,0.09,0.03,0.29,3.0,274447.59,0.0,37700.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,49.16,0.487,49.51,0.0811,7.555
