,MLCOU FP Equity_PX_LAST
2024-08-19,2.62
2024-08-20,3.12
2024-08-21,3.16
2024-08-22,3.2
2024-08-23,3.2
2024-08-26,3.2
2024-08-27,3.04
2024-08-28,3.04
2024-08-29,3.04
2024-08-30,2.8
2024-09-02,3.2
2024-09-03,3.2
2024-09-04,3.2
2024-09-05,3.2
2024-09-06,3.2
2024-09-09,3.2
2024-09-10,3.2
2024-09-11,2.8
2024-09-12,2.8
2024-09-13,2.8
2024-09-16,2.8
2024-09-17,2.8
2024-09-18,2.8
2024-09-19,2.8
2024-09-20,2.8
2024-09-23,2.8
2024-09-24,2.8
2024-09-25,2.8
2024-09-26,2.8
2024-09-27,2.8
2024-09-30,2.8
2024-10-01,2.8
2024-10-02,3.04
2024-10-03,3.3
2024-10-04,3.3
2024-10-07,3.3
2024-10-08,5.3
2024-10-09,5.3
2024-10-10,4.7
2024-10-11,4.7
2024-10-14,4.6
2024-10-15,4.6
2024-10-16,4.6
2024-10-17,4.6
2024-10-18,4.6
2024-10-21,4.6
2024-10-22,4.6
2024-10-23,2.92
2024-10-24,2.62
2024-10-25,2.38
2024-10-28,2.38
2024-10-29,2.38
2024-10-30,2.38
2024-10-31,2.38
2024-11-01,2.38
2024-11-04,2.38
2024-11-05,1.96
2024-11-06,1.96
2024-11-07,1.78
2024-11-08,1.62
2024-11-11,1.48
2024-11-12,1.48
2024-11-13,1.3
2024-11-14,1.18
2024-11-15,1.35
2024-11-18,1.17
2024-11-19,1.3
2024-11-20,1.56
2024-11-21,1.68
2024-11-22,1.5
2024-11-25,1.5
2024-11-26,1.36
2024-11-27,1.36
2024-11-28,1.36
2024-11-29,1.29
2024-12-02,1.29
2024-12-03,1.29
2024-12-04,1.29
2024-12-05,1.15
2024-12-06,1.15
2024-12-09,1.15
2024-12-10,1.1
2024-12-11,1.2
2024-12-12,1.2
2024-12-13,1.35
2024-12-16,1.45
2024-12-17,1.34
2024-12-18,1.45
2024-12-19,1.6
2024-12-20,1.6
2024-12-23,1.8
2024-12-24,1.8
2024-12-27,1.8
2024-12-30,2.0
2024-12-31,2.0
2025-01-02,2.28
2025-01-03,2.1
2025-01-06,2.0
2025-01-07,1.9
2025-01-08,2.08
2025-01-09,2.08
2025-01-10,1.75
2025-01-13,2.0
2025-01-14,1.95
2025-01-15,1.72
2025-01-16,1.72
2025-01-17,1.5
2025-01-20,1.5
2025-01-21,1.38
2025-01-22,1.3
2025-01-23,1.3
2025-01-24,1.2
2025-01-27,1.04
2025-01-28,1.0
2025-01-29,1.0
2025-01-30,0.9
2025-01-31,0.95
2025-02-03,0.9
2025-02-04,0.9
2025-02-05,0.8
2025-02-06,0.7
2025-02-07,0.8
2025-02-10,0.9
2025-02-11,0.94
2025-02-12,0.94
2025-02-13,1.0
2025-02-14,1.05
2025-02-17,1.1
2025-02-18,1.14
2025-02-19,1.14
2025-02-20,1.25
2025-02-21,1.3
2025-02-24,1.1
2025-02-25,1.1
2025-02-26,1.1
2025-02-27,1.03
2025-02-28,1.03
2025-03-03,1.03
2025-03-04,1.07
2025-03-05,1.07
2025-03-06,1.06
2025-03-07,1.06
2025-03-10,1.15
2025-03-11,1.15
2025-03-12,1.0
2025-03-13,0.98
2025-03-14,0.98
2025-03-17,0.8
2025-03-18,0.8
2025-03-19,0.8
2025-03-20,0.8
2025-03-21,0.8
2025-03-24,0.8
2025-03-25,0.8
2025-03-26,1.38
2025-03-27,1.55
2025-03-28,1.36
2025-03-31,1.4
2025-04-01,1.4
2025-04-02,1.4
2025-04-03,1.7
2025-04-04,1.86
2025-04-07,1.86
2025-04-08,1.86
2025-04-09,1.86
2025-04-10,1.86
2025-04-11,1.86
2025-04-14,1.86
2025-04-15,1.86
2025-04-16,1.52
2025-04-17,1.52
2025-04-22,1.52
2025-04-23,1.52
2025-04-24,1.52
2025-04-25,1.4
2025-04-28,1.4
2025-04-29,1.4
2025-04-30,1.4
2025-05-02,1.4
2025-05-05,1.4
2025-05-06,1.4
2025-05-07,1.4
2025-05-08,1.2
2025-05-09,1.2
2025-05-12,1.2
2025-05-13,1.54
2025-05-14,1.54
2025-05-15,1.54
2025-05-16,1.54
2025-05-19,1.54
2025-05-20,1.54
2025-05-21,1.18
2025-05-22,1.18
2025-05-23,1.42
2025-05-26,1.3
2025-05-27,1.55
2025-05-28,1.55
2025-05-29,1.55
2025-05-30,1.55
2025-06-02,1.6
2025-06-03,1.6
2025-06-04,1.6
2025-06-05,1.6
2025-06-06,1.6
2025-06-09,1.6
2025-06-10,1.6
2025-06-11,1.6
2025-06-12,1.75
2025-06-13,1.73
2025-06-16,1.73
2025-06-17,1.75
2025-06-18,1.75
2025-06-19,1.75
2025-06-20,1.75
2025-06-23,1.75
2025-06-24,1.75
2025-06-25,1.75
2025-06-26,1.75
2025-06-27,1.75
2025-06-30,1.75
2025-07-01,1.75
2025-07-02,1.75
2025-07-03,1.68
2025-07-04,1.64
2025-07-07,1.64
2025-07-08,1.64
2025-07-09,1.64
2025-07-10,1.64
2025-07-11,1.5
2025-07-14,1.5
2025-07-15,1.5
2025-07-16,1.5
2025-07-17,1.5
2025-07-18,1.5
2025-07-21,1.5
2025-07-22,1.5
2025-07-23,1.4
2025-07-24,1.4
2025-07-25,1.4
2025-07-28,1.5
2025-07-29,1.5
2025-07-30,1.5
2025-07-31,1.5
2025-08-01,1.5
2025-08-04,1.4
2025-08-05,1.5
2025-08-06,1.2
2025-08-07,1.2
2025-08-08,1.2
2025-08-11,1.2
2025-08-12,1.22
2025-08-13,1.2
2025-08-14,1.2
2025-08-15,1.2
2025-08-18,1.2
2025-08-19,1.2
2025-08-20,1.2
2025-08-21,1.26
2025-08-22,1.46
2025-08-25,1.5
2025-08-26,1.5
2025-08-27,1.36
2025-08-28,1.48
2025-08-29,1.48
