,RXL FP Equity_DX_SI_QTY,RXL FP Equity_DX_SHORT_INTEREST_VALUE,RXL FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,RXL FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,RXL FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,RXL FP Equity_DX_SI_MV,RXL FP Equity_DX_DSS,RXL FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,RXL FP Equity_DX_SUPPLY_SI_QTY,RXL FP Equity_DX_BROKER_SI_QTY,RXL FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,RXL FP Equity_DX_BROKER_SI_MV_NEW_x,RXL FP Equity_DX_SUPPLY_SI_QTY_NEW_x,RXL FP Equity_DX_SUPPLY_SI_QTY_INC_x,RXL FP Equity_DX_BROKER_SI_MV_INC_x,RXL FP Equity_DX_SUPPLY_SI_MV_NEW,RXL FP Equity_DX_BROKER_SI_QTY_ADD,RXL FP Equity_DX_BROKER_SI_QTY_NEW,RXL FP Equity_DX_SUPPLY_SI_MV_DEC,RXL FP Equity_DX_BROKER_SI_QTY_INC,RXL FP Equity_DX_SUPPLY_SI_QTY_DEC,RXL FP Equity_DX_BROKER_SI_MV_NEW_y,RXL FP Equity_DX_SUPPLY_SI_QTY_NEW_y,RXL FP Equity_DX_BROKER_SI_MV_INC_y,RXL FP Equity_DX_SUPPLY_SI_QTY_INC_y,RXL FP Equity_DX_BROKER_SI_MV_ADD,RXL FP Equity_DX_SUPPLY_SI_QTY_ADD,RXL FP Equity_DX_BROKER_SI_QTY_DEC,RXL FP Equity_DX_SUPPLY_SI_MV,RXL FP Equity_DX_BROKER_SI_MV_DEC,RXL FP Equity_DX_SUPPLY_SI_MV_RMV,RXL FP Equity_DX_BROKER_SI_MV_RMV,RXL FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,RXL FP Equity_DX_UTILIZATION_QUANTITY,RXL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,RXL FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,RXL FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,RXL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,RXL FP Equity_DX_ACTIVE_UTILIZATION_MV,RXL FP Equity_DX_BROKER_SI_MARKET_SHARE_2,RXL FP Equity_DX_BROKER_SI_CON_RATIO,RXL FP Equity_DX_BROKER_SI_MARKET_SHARE_1,RXL FP Equity_DX_DEMAND_SUPPLY_RATIO,RXL FP Equity_PX_LAST
2012-08-29,1910319.0,24468257.21,1.81,4.73,0.7,29.7,0.0,20936463.43,1667330.0,1634580.0,21355940.71,,,12544.0,,,,,0.62,,45632.0,,,,12544.0,,,5934.0,25.88,0.0,,,5.23,5.23,30195922.0,386763460.07,,467.14,5.25,18.03,0.345,55.05,0.06,15.55
2012-08-30,2019967.0,25539912.38,1.92,5.04,0.74,31.42,0.0,22001931.89,1655906.0,1740146.0,20936824.29,,,4082.0,1.99,,,,0.33,126566.0,21000.0,,,1.99,4082.0,,5494.0,21000.0,25.74,0.33,,,5.24,5.24,29938402.0,378532997.71,,462.32,5.27,22.61,0.3346,52.41,0.0639,15.35
2012-08-31,2032373.0,25989730.38,1.93,5.16,0.75,31.27,0.0,22579690.26,1642747.0,1765711.0,21007242.09,,,,0.3,,,,0.24,31415.0,13159.0,,,0.3,,,,5850.0,25.28,0.07,,,5.15,5.15,30246768.0,386791866.12,,465.27,5.15,22.28,0.3455,53.63,0.0637,15.525
2012-09-03,1666687.0,21690915.55,1.58,4.22,0.61,25.99,0.0,17659135.45,1240123.0,1356893.0,16139445.06,,,23179.0,,,,,6.84,,445756.0,,,,23179.0,,19953.0,408818.0,19.27,6.05,,,3.91,3.91,30449932.0,396287307.48,,473.07,3.91,26.94,0.2669,42.55,0.0526,15.8
2012-09-04,1701649.0,21865596.52,1.61,4.37,0.63,26.85,0.0,17736759.37,1236431.0,1380330.0,15887707.37,,,4316.0,0.87,,,,0.12,42854.0,13217.0,,,0.87,4316.0,,5209.0,19417.0,19.52,0.28,,,3.9,3.9,30462312.0,391430091.13,,478.57,3.92,25.43,0.2762,44.58,0.0537,15.6
2012-09-05,1777554.0,22870232.58,1.69,4.56,0.65,27.87,0.0,18272419.75,1318606.0,1420196.0,16965350.08,,,5966.0,0.06,,70000.0,,0.38,686.0,23279.0,,,0.06,5966.0,1.09,99488.0,30820.0,20.56,0.62,,,4.12,4.12,30719258.0,395237824.02,,477.05,4.13,24.66,0.2408,40.49,0.0555,15.62
2012-09-06,1916718.0,25015962.29,1.82,4.99,0.71,30.16,0.0,20585749.67,1396490.0,1577276.0,18226228.99,,,22000.0,2.55,,,,0.26,157839.0,17146.0,,,2.55,22000.0,,73030.0,759.0,21.82,0.01,,,4.41,4.41,30258746.0,394920718.03,,472.18,4.42,22.66,0.2387,40.99,0.0606,15.845
2012-09-07,1871776.0,24945897.89,1.78,5.16,0.69,29.66,0.0,19875930.31,1305447.0,1491359.0,17398207.67,,,,0.88,,,,2.34,48845.0,153183.0,,,0.88,,,62140.0,134762.0,20.63,2.15,,,4.11,4.11,30468992.0,406072288.18,,480.66,4.12,15.48,0.2457,44.3,0.0589,16.18
2012-09-10,1868895.0,24753561.61,1.77,5.37,0.69,30.36,0.0,20017087.57,1273548.0,1511291.0,16868175.51,,,30914.0,0.93,,25914.0,,0.99,34018.0,62813.0,,,0.93,30914.0,0.42,,40000.0,20.61,0.62,,,3.99,3.99,30636080.0,405775655.5,,491.26,4.03,15.65,0.2442,44.19,0.0586,16.08
2012-09-11,1731767.0,22623479.02,1.64,5.08,0.64,27.91,0.0,19378101.45,1037668.0,1483342.0,13555899.97,,,,2.76,,,,3.9,176553.0,235880.0,,,2.76,,,,204502.0,16.65,3.39,,,3.25,3.25,30873584.0,403326706.19,,490.98,3.28,8.69,0.3209,54.53,0.0543,15.86
2012-09-12,1775682.0,23153297.7,1.68,5.36,0.65,28.32,0.0,20218600.18,1075668.0,1550613.0,14025744.15,,,10158.0,1.42,,,,0.98,99391.0,58427.0,,,1.42,10158.0,,86269.0,32120.0,17.05,0.53,,,3.43,3.43,30298672.0,395067457.25,,477.08,3.45,8.34,0.3656,58.76,0.0566,15.83
2012-09-13,1334223.0,17419048.89,1.27,3.9,0.49,21.17,0.0,14023594.03,759258.0,1074146.0,9912550.02,,,157124.0,0.67,,759.0,,8.05,42840.0,507505.0,,,0.67,157124.0,0.01,33971.0,550066.0,12.0,8.84,,,2.37,2.37,31224894.0,407658956.01,,490.77,2.39,12.24,0.1865,37.22,0.0417,15.85
2012-09-14,1239380.0,16885220.54,1.18,3.6,0.46,19.82,0.0,13044527.01,745135.0,957472.0,10151663.58,,,816.0,0.25,,7000.0,,0.39,10000.0,24939.0,,,0.25,816.0,0.11,10000.0,133674.0,11.8,2.09,,,2.34,2.34,31052132.0,423051926.91,,491.17,2.35,12.07,0.1891,37.68,0.039,16.54
2012-09-17,1083823.0,14627548.86,1.03,3.09,0.4,17.95,0.0,10943328.36,558514.0,810842.0,7537845.96,,,30104.0,,,7100.0,,3.65,,242494.0,,,,30104.0,0.11,25769.0,153730.0,9.19,2.01,,,1.76,1.76,31210718.0,421227730.39,,510.24,1.77,12.94,0.2102,41.33,0.0341,16.385
2012-09-18,1159137.0,15486467.57,1.1,3.35,0.43,19.04,0.0,10677639.34,633160.0,799204.0,8459234.59,,,,0.19,,,,0.4,10928.0,23575.0,,,0.19,,,98221.0,22566.0,10.37,0.49,,,2.0,2.0,31026140.0,414519863.4,,504.07,2.02,14.77,0.1994,38.61,0.0366,16.22
2012-09-19,1159831.0,15247349.25,1.1,3.41,0.43,18.86,0.0,10242808.15,580528.0,779147.0,7631726.66,,,,1.04,,,,1.33,66943.0,80668.0,,,1.04,,,28036.0,87000.0,9.37,1.42,,,1.82,1.82,31304716.0,411537489.41,,502.24,1.83,16.57,0.2406,43.31,0.0364,15.96
2012-09-20,1395870.0,18396351.74,1.32,4.1,0.51,22.44,0.0,9970815.53,818983.0,756561.0,10793483.16,,,135051.0,,,,,0.33,,20170.0,,,,135051.0,,123574.0,22586.0,13.11,0.51,,,2.52,2.52,31720948.0,418054487.2,,504.39,2.53,33.35,0.2479,34.56,0.0429,16.0
2012-09-21,1446107.0,19201369.92,1.37,4.28,0.53,23.26,0.0,10065433.94,867726.0,758055.0,11521642.53,,,2217.0,0.03,,,,0.0,1494.0,28.0,,,0.03,2217.0,,46554.0,,13.89,,,,2.67,2.67,31621170.0,419865046.24,,503.52,2.68,33.4,0.2534,35.46,0.0445,16.12
2012-09-24,1430472.0,18887724.19,1.36,4.14,0.53,23.16,0.0,10095445.22,845729.0,764584.0,11166870.86,,,,0.17,,,,0.36,6718.0,22353.0,,,0.17,,,356.0,189.0,13.64,0.0,,,2.59,2.59,31748064.0,419196374.7,,508.33,2.61,34.32,0.253,34.49,0.0439,16.03
2012-09-25,1386168.0,18160018.68,1.32,4.03,0.51,22.3,0.0,10004014.31,816195.0,763614.0,10692871.61,,,13919.0,0.03,,,,0.91,4531.0,55992.0,,,0.03,13919.0,,12539.0,5501.0,13.08,0.09,,,2.52,2.52,31580268.0,413729257.08,,502.5,2.54,34.38,0.2574,35.11,0.0428,15.905
2012-09-26,1329718.0,17086412.81,1.26,3.88,0.49,21.26,0.0,10693968.21,707965.0,832238.0,9097103.48,,,12256.0,1.19,,25000.0,,2.53,76400.0,157850.0,,,1.19,12256.0,0.4,37364.0,32776.0,11.26,0.53,,,2.17,2.17,31938584.0,410399671.76,,503.41,2.19,27.08,0.2654,41.84,0.0407,15.6
2012-09-27,1257295.0,16197227.64,1.19,3.58,0.46,19.83,0.0,11050539.05,644307.0,857788.0,8300348.88,,,35325.0,0.43,,,,2.1,36950.0,126608.0,,,0.43,35325.0,,27625.0,11400.0,10.08,0.18,,,1.98,1.98,31871352.0,410585855.69,,494.82,2.0,20.63,0.2826,47.16,0.0387,15.64
2012-09-28,1289624.0,16634954.34,1.22,3.63,0.47,20.32,0.0,11062464.44,698951.0,857617.0,9015820.09,,,,0.15,,,,0.2,10329.0,14054.0,,,0.15,,,68698.0,10500.0,10.93,0.16,,,2.15,2.15,31803108.0,410230617.19,,495.06,2.16,22.6,0.2849,46.75,0.0397,15.66
2012-10-01,1332046.0,17385140.9,1.26,3.57,0.49,21.02,0.0,11780623.45,746361.0,902629.0,9741098.39,,,,0.74,,,,0.04,45012.0,2590.0,,,0.74,,,50000.0,,11.69,,,,2.28,2.28,31967660.0,417224535.38,,498.41,2.29,21.62,0.2899,47.7,0.0407,15.845
2012-10-02,1354712.0,17725600.04,1.29,3.61,0.5,21.6,0.0,11832672.02,784386.0,904334.0,10263223.85,,,26468.0,0.39,,,,0.32,16661.0,22056.0,,,0.39,26468.0,,33613.0,14956.0,12.42,0.23,,,2.4,2.4,31945720.0,417990728.38,,503.55,2.41,20.74,0.2966,48.85,0.0414,15.885
2012-10-03,1475354.0,19152223.46,1.4,3.92,0.54,23.58,0.0,13807438.95,814080.0,1063629.0,10567932.9,,,78621.0,2.59,,,,1.72,159295.0,108703.0,,,2.59,78621.0,,59776.0,,12.93,,,,2.48,2.48,32050612.0,416063184.22,,505.59,2.49,11.73,0.2721,48.65,0.0449,15.76
2012-10-04,1487034.0,19028252.45,1.41,3.97,0.55,23.65,0.0,14140880.14,824688.0,1105092.0,10552799.37,,,34462.0,0.54,,9100.0,,0.62,32363.0,38854.0,,,0.54,34462.0,0.15,15000.0,,12.95,,,,2.52,2.52,31900524.0,408202653.13,,497.42,2.54,11.56,0.2708,48.16,0.0454,15.535
2012-10-05,1395444.0,18252806.9,1.32,3.78,0.51,22.0,0.0,14455665.22,748041.0,1105149.0,9784590.37,,,,,,15000.0,,1.24,,76647.0,,,,,0.24,,14943.0,11.64,0.24,,,2.27,2.27,32200332.0,421189558.46,,502.03,2.27,10.23,0.2776,49.24,0.0424,15.88
2012-10-08,1330459.0,17117852.26,1.26,3.54,0.49,21.3,0.0,14331988.74,659330.0,1113932.0,8483022.43,,,,0.37,,,,1.36,8783.0,88711.0,,,0.37,,,,,10.47,,,,1.99,1.99,32392460.0,416765450.69,,510.55,2.01,10.71,0.3069,52.66,0.0403,15.62
2012-10-09,1697010.0,21694161.41,1.61,4.51,0.62,27.17,0.0,18707569.25,1186223.0,1463386.0,15164385.14,,,179002.0,11.78,,,,3.87,730243.0,242820.0,,,11.78,179002.0,,590711.0,380789.0,18.56,6.11,,,3.57,3.57,32014444.0,409264833.77,,497.76,3.59,19.9,0.2606,45.08,0.0511,15.52
2012-10-10,1770637.0,22000958.32,1.68,4.79,0.65,27.94,0.0,18101952.08,1266391.0,1456845.0,15735475.77,,,452.0,,,,,0.01,,452.0,,,,452.0,,80168.0,6541.0,19.62,0.3,,,3.83,3.83,31806396.0,395208725.91,,488.15,3.86,19.18,0.2397,42.67,0.0535,15.085
2012-10-11,1770637.0,22460375.09,1.68,4.75,0.65,27.29,0.0,18479951.08,1266391.0,1456845.0,16064058.79,,,,,,,,0.87,,55000.0,,,,,,55000.0,,19.24,,,,3.89,3.89,31291988.0,396936123.94,,473.45,3.91,19.08,0.2371,42.37,0.0544,15.4
2012-10-12,1668866.0,20805139.91,1.58,4.44,0.61,26.18,0.0,17124541.06,1200842.0,1373630.0,14970456.48,,,70689.0,0.26,,3007.0,,2.24,13778.0,146556.0,,,0.26,70689.0,0.05,10318.0,100000.0,18.46,1.3,,,3.68,3.68,31396840.0,391412881.0,,479.65,3.71,20.35,0.2187,39.13,0.0512,15.135
2012-10-15,1735408.0,21920584.19,1.65,4.73,0.64,26.88,0.0,17659201.35,1203971.0,1398043.0,15207805.7,,,,0.28,,,,0.69,24413.0,44500.0,,,0.28,,,47629.0,,18.24,,,,3.7,3.7,31316656.0,395572334.88,,474.98,3.7,20.87,0.2111,37.49,0.0534,15.335
2012-10-16,1872466.0,24137652.53,1.78,5.11,0.69,29.21,0.0,18217020.36,1310635.0,1413176.0,16895181.12,,,13196.0,0.97,,,,0.42,60000.0,28285.0,,,0.97,13196.0,,121753.0,44867.0,20.06,0.62,,,4.02,4.02,31268924.0,403082577.94,,479.07,4.02,18.44,0.1916,35.3,0.0575,15.65
2012-10-17,1805869.0,23487409.6,1.71,4.95,0.67,28.68,0.0,18064701.95,1195073.0,1388935.0,15543303.0,,,48.0,0.67,,,,1.62,41865.0,115610.0,,,0.67,48.0,,,66106.0,18.67,0.82,,,3.63,3.63,31754128.0,412999066.23,,495.14,3.63,19.22,0.1855,33.86,0.0548,15.79
2012-10-18,1788690.0,22976676.35,1.7,4.85,0.66,28.63,0.0,17801198.27,1177894.0,1385789.0,15130676.2,,,,,,,,0.22,,17179.0,,,,,,,3146.0,18.59,0.0,,,3.61,3.61,31456562.0,404076303.91,,493.1,3.63,19.39,0.1861,33.98,0.0548,15.595
2012-10-19,1756099.0,22312124.11,1.67,4.82,0.65,27.84,0.0,17302076.79,1125185.0,1361778.0,14296043.31,,,,,,,,0.89,,52709.0,,,,,,,24011.0,17.55,0.46,,,3.49,3.49,31135576.0,395593207.36,,482.85,3.51,19.71,0.1846,33.58,0.0544,15.425
2012-10-22,1610671.0,20298550.14,1.53,4.56,0.59,25.2,0.0,15643107.83,971757.0,1241266.0,12246609.14,,,,0.12,,,,2.42,8000.0,153428.0,,,0.12,,,,128512.0,14.97,2.2,,,3.02,3.02,31226232.0,393529923.84,,478.72,3.03,21.63,0.1777,31.43,0.05,15.3
2012-10-23,1529100.0,18930479.63,1.45,4.45,0.56,23.73,0.0,15175408.35,893290.0,1225786.0,11059059.67,,,,,,,,1.26,,78467.0,,,,,,,15480.0,13.67,0.26,,,2.78,2.78,31263002.0,387040496.05,,475.13,2.8,22.25,0.1836,32.31,0.0476,15.03
2012-10-24,1447482.0,17949844.07,1.37,4.35,0.53,22.16,0.0,14623953.92,822346.0,1179281.0,10197696.74,,,,,,22000.0,,1.63,,105445.0,,,,,0.33,34501.0,68505.0,12.37,1.19,,,2.54,2.54,31579810.0,391612928.78,,473.76,2.54,23.45,0.1729,29.71,0.0447,15.055
2012-10-25,1417935.0,17752791.78,1.35,4.48,0.52,21.76,0.0,14394868.81,792799.0,1149734.0,9925980.79,,,,,,,,0.44,,29547.0,,,,,,,29547.0,11.97,0.46,,,2.47,2.47,31336908.0,392343515.52,,472.24,2.47,23.93,0.1673,28.08,0.0441,15.2
2012-10-26,1478885.0,18333173.67,1.4,4.75,0.54,22.67,0.0,14337693.83,858749.0,1156581.0,10645584.04,,,,0.12,,,,2.05,11847.0,136060.0,,,0.12,,,202010.0,5000.0,13.04,0.08,,,2.65,2.65,31568636.0,391344348.21,,476.2,2.67,23.17,0.1636,27.46,0.0456,15.05
2012-10-29,1484977.0,18109017.46,1.41,5.04,0.55,22.59,0.0,14426793.55,860896.0,1183027.0,10498466.1,,,1600.0,0.05,,22946.0,,0.34,3500.0,20868.0,,,0.05,1600.0,0.35,21415.0,,12.95,,,,2.66,2.66,31533052.0,384539686.02,,471.73,2.67,22.9,0.161,27.38,0.0458,14.805
2012-10-30,1442825.0,17939631.78,1.37,5.0,0.53,21.71,0.0,14189793.98,855865.0,1141238.0,10641555.95,,,,,,,,0.15,,10168.0,,,,,,5137.0,41789.0,12.67,0.65,,,2.68,2.68,31093956.0,386612459.14,,461.64,2.67,23.45,0.1689,27.85,0.0452,15.095
2012-10-31,1373992.0,15804905.11,1.3,4.73,0.51,20.8,0.0,12490077.28,820451.0,1085819.0,9437573.29,,,10734.0,,,,,0.68,,46148.0,,,,10734.0,,,55419.0,12.3,0.86,,,2.57,2.57,31056704.0,357242443.74,,459.78,2.61,24.56,0.1822,29.24,0.0431,13.965
2012-11-01,1364974.0,15729279.95,1.3,4.16,0.5,19.49,0.0,12281955.33,831434.0,1065818.0,9581030.96,,,,,,,,,,,,,,,,10983.0,20001.0,11.62,0.33,,,2.63,2.63,30741346.0,354247947.11,,430.6,2.63,24.44,0.1812,29.32,0.0432,13.99
2012-11-02,1320449.0,15395657.97,1.25,3.91,0.49,18.89,0.0,12195277.83,797720.0,1045960.0,9300945.57,,,,0.08,,,,0.46,5116.0,33714.0,,,0.08,,,,24974.0,11.22,0.38,,,2.55,2.55,30443002.0,354947481.12,,429.87,2.54,25.27,0.1844,29.68,0.0423,14.155
2012-11-05,1096823.0,12874138.05,1.04,3.3,0.4,15.86,0.0,9491320.28,629094.0,808621.0,7384092.97,,,35981.0,,,,,3.47,,247339.0,,,,35981.0,,42732.0,237339.0,8.93,3.34,,,2.1,2.1,29380880.0,344862849.55,,417.39,2.09,14.0,0.1604,30.57,0.0365,14.25
2012-11-06,1082200.0,13050145.54,1.03,2.74,0.4,15.79,0.0,9871671.77,604471.0,818621.0,7289257.55,,,14000.0,0.2,,,,0.55,10000.0,38623.0,,,0.2,14000.0,,,,8.65,,,,2.04,2.04,28989208.0,349578066.31,,415.94,2.04,14.95,0.1602,30.93,0.0366,14.64
2012-11-07,1061273.0,12928913.74,1.01,2.64,0.39,15.82,0.0,9787472.03,598758.0,803407.0,7294344.18,,,,,,,,0.08,,5713.0,,,,,,,15214.0,8.8,0.24,,,1.97,1.97,29719150.0,362052296.55,,435.9,1.98,15.09,0.1655,31.72,0.035,14.79
2012-11-08,1006817.0,12174281.63,0.96,2.42,0.37,15.11,0.0,9169033.32,584427.0,758282.0,7066804.48,,,,,,,,0.2,,14331.0,,,,,,,45125.0,8.64,0.66,,,1.82,1.82,31444276.0,380219515.27,,463.73,1.83,14.78,0.1704,33.47,0.0314,14.68
2012-11-09,1024836.0,12160022.65,0.97,2.47,0.38,15.25,0.0,8773833.97,570277.0,739451.0,6766527.76,,,4000.0,,,,,0.96,,63500.0,,,,4000.0,,45350.0,18831.0,8.36,0.31,,,1.75,1.75,32042680.0,380197138.52,,468.14,1.75,14.55,0.1657,32.91,0.0314,14.405
2012-11-12,961482.0,11404346.36,0.91,2.38,0.35,14.1,0.0,8365372.17,427536.0,705271.0,5071097.15,,,613.0,1.15,,,,2.12,80000.0,143354.0,,,1.15,613.0,,,114180.0,6.16,1.69,,,1.33,1.33,31833628.0,377585560.37,,458.87,1.32,11.5,0.1746,34.95,0.0298,14.4
2012-11-13,927759.0,10935573.36,0.88,2.3,0.34,13.61,0.0,8396387.92,419972.0,712338.0,4950245.29,,,9232.0,0.53,,,,0.66,37067.0,46089.0,,,0.53,9232.0,,29293.0,30000.0,6.04,0.43,,,1.29,1.29,32070328.0,378015653.43,,461.23,1.29,14.91,0.1815,35.95,0.0286,14.31
2012-11-14,957496.0,11120461.98,0.91,2.37,0.35,13.96,0.0,8680082.37,402339.0,747374.0,4672808.61,,,,0.75,,,,0.26,52284.0,17633.0,,,0.75,,,,17248.0,5.74,0.27,,,1.24,1.24,32016344.0,371841277.9,,456.67,1.24,14.4,0.1906,37.9,0.0295,14.1
2012-11-15,952057.0,11002398.49,0.9,2.28,0.35,13.71,0.0,8288643.71,423110.0,717231.0,4889649.28,,,33960.0,,,,,0.33,,23236.0,,,,33960.0,,10047.0,30143.0,5.96,0.49,,,1.3,1.3,32045666.0,370334115.58,,451.47,1.3,14.74,0.1753,35.74,0.0293,14.03
2012-11-16,961426.0,11071074.74,0.91,2.31,0.35,13.81,0.0,8239079.67,412803.0,715492.0,4753535.75,,,5500.0,0.28,,,,0.3,21207.0,21415.0,,,0.28,5500.0,,5608.0,22946.0,5.8,0.32,,,1.28,1.28,31783944.0,366000523.79,,446.84,1.28,12.25,0.1822,37.56,0.0299,13.98
2012-11-19,940219.0,11063079.07,0.89,2.28,0.35,13.45,0.0,8484817.18,391596.0,721100.0,4607711.09,,,,,,5608.0,,0.3,,21207.0,,,,,0.08,,,5.48,,,,1.21,1.21,31927596.0,375675793.83,,448.73,1.21,12.12,0.1821,37.54,0.0291,14.285
2012-11-20,856832.0,10159541.19,0.81,2.05,0.32,12.54,0.0,7627410.44,388745.0,643278.0,4609387.65,,,33593.0,0.11,,,,0.51,57.0,36444.0,,,0.11,33593.0,,,77879.0,5.56,1.03,,,1.19,1.19,32220956.0,382047040.42,,461.13,1.19,9.93,0.2082,41.2,0.0263,14.395
2012-11-21,847067.0,10092597.4,0.8,2.0,0.31,12.49,0.0,7649428.84,379037.0,642013.0,4516133.72,,,,,,,,0.13,,9708.0,,,,,,,1265.0,5.46,0.0,,,1.16,1.16,32315732.0,385034091.61,,465.25,1.16,10.04,0.2131,41.78,0.0259,14.465
2012-11-22,820415.0,9835864.8,0.78,1.96,0.3,12.14,0.0,7697022.93,352385.0,642013.0,4224704.84,,,,,,,,0.38,,26652.0,,,,,,,,5.09,,,,1.09,1.09,32011372.0,383780802.57,,462.74,1.09,10.35,0.2244,43.12,0.0254,14.555
2012-11-23,820415.0,9933851.78,0.78,1.99,0.3,12.21,0.0,7773702.31,352385.0,642013.0,4266792.24,,,,,,,,,,,,,,,,,,5.13,,,,1.08,1.08,32219528.0,390124528.98,,468.65,1.08,10.34,0.224,43.07,0.0252,14.7
2012-11-26,863415.0,10312271.54,0.82,2.11,0.32,12.92,0.0,8181511.86,387020.0,685013.0,4622406.76,,,34635.0,0.29,,23000.0,,,20000.0,,,,0.29,34635.0,0.34,,,5.67,,,,1.2,1.2,31884264.0,380812457.76,,466.07,1.2,9.92,0.2071,40.97,0.0268,14.5
2012-11-27,905950.0,10831485.39,0.86,2.22,0.33,13.42,0.0,8843188.37,374920.0,739648.0,4482521.66,,,,0.73,,,,0.19,54635.0,12100.0,,,0.73,,,,,5.44,,,,1.16,1.16,31902216.0,381421034.74,,462.33,1.16,10.06,0.2166,42.32,0.0281,14.515
2012-11-28,1061583.0,12679108.14,1.01,2.61,0.39,15.69,0.0,10930567.11,320653.0,915183.0,3829746.77,,,,,,222000.0,,0.79,,54267.0,,,,,3.23,,46465.0,4.65,0.67,,,1.01,1.01,31423312.0,375307037.78,,455.14,1.01,20.59,0.1785,33.03,0.0334,14.5
2012-11-29,823283.0,10022829.22,0.78,2.05,0.3,12.25,0.0,8414614.62,304353.0,691183.0,3705260.7,,,,,,,,0.24,,16300.0,,,,,,,224000.0,4.42,3.26,,,0.96,0.96,31358672.0,381767404.45,,455.67,0.96,11.22,0.2212,42.04,0.026,14.78
2012-11-30,783932.0,9659991.29,0.74,1.93,0.29,11.85,0.0,8051906.83,302753.0,653432.0,3730669.68,,,,,,,,0.02,,1600.0,,,,,,,37751.0,4.49,0.48,,,0.98,0.98,30465716.0,375413366.47,,450.91,0.99,11.75,0.2077,40.0,0.0255,14.96
2012-12-03,776036.0,9335770.75,0.73,1.83,0.29,11.79,0.0,7765846.05,302753.0,645536.0,3642141.09,,,,0.14,,,,,9503.0,,,,0.14,,,,17399.0,4.5,0.25,,,0.98,0.98,30480728.0,366685422.83,,451.76,0.99,11.52,0.2157,40.89,0.0252,14.605
2012-12-04,786330.0,9372169.3,0.74,1.82,0.29,11.79,0.0,7570619.36,323404.0,635179.0,3854611.98,,,,0.07,,,,,5244.0,,,,0.07,,,20651.0,15601.0,4.71,0.23,,,1.04,1.04,30626792.0,365036917.82,,445.96,1.04,11.42,0.2115,40.41,0.0254,14.47
2012-12-05,763756.0,9059075.43,0.72,1.74,0.28,11.42,0.0,7184825.27,330268.0,605741.0,3917380.32,,,,,,10000.0,,,,,,,,,0.15,6864.0,39438.0,4.78,0.59,,,1.07,1.07,30461192.0,361306799.56,,440.29,1.07,11.73,0.1854,36.57,0.0248,14.4
2012-12-06,598429.0,7273083.84,0.57,1.33,0.22,8.93,0.0,5620008.04,284471.0,462414.0,3457354.9,,,,,,1000.0,,0.66,,45797.0,,,,,0.01,,144327.0,4.12,2.22,,,0.92,0.92,30801556.0,374350673.46,,446.75,0.91,15.37,0.1319,21.92,0.0193,14.755
2012-12-07,490742.0,6018866.0,0.46,1.09,0.18,7.46,0.0,4370534.51,282238.0,356347.0,3461600.4,,,,,,,,0.03,,2233.0,,,,,,,106067.0,4.15,1.53,,,0.91,0.91,30698838.0,376515954.25,,453.41,0.91,16.22,0.1515,26.76,0.0158,14.89
2012-12-10,499012.0,6210723.61,0.47,1.1,0.18,7.67,0.0,4435109.23,290508.0,356347.0,3615674.36,,,8270.0,,,,,,,,,,,8270.0,,,,4.34,,,,0.93,0.93,30827548.0,383680913.68,,459.4,0.94,15.77,0.1468,26.26,0.016,15.11
2012-12-11,583492.0,7305420.9,0.55,1.27,0.21,9.02,0.0,4461526.16,374988.0,356347.0,4694914.71,,,42673.0,,,,,,,,,,,42673.0,,41807.0,,5.66,,,,1.2,1.2,30916768.0,387083289.96,,465.84,1.2,14.15,0.1284,22.68,0.0186,15.2
2012-12-12,584992.0,7266378.52,0.55,1.26,0.22,9.06,0.0,4444935.58,374988.0,357847.0,4657849.59,,,,0.02,,,,,1500.0,,,,0.02,,,,,5.68,,,,1.2,1.2,30761000.0,382092523.56,,464.64,1.21,14.17,0.1279,22.71,0.0188,15.08
2012-12-13,597335.0,7431995.54,0.56,1.41,0.22,9.22,0.0,4586129.82,376575.0,368603.0,4685316.82,,,1587.0,0.26,,,,,16000.0,,,,0.26,1587.0,,,5244.0,5.67,0.09,,,1.19,1.19,31323800.0,389728279.84,,471.02,1.19,13.82,0.1231,22.15,0.0188,15.105
2012-12-14,589065.0,7363065.57,0.56,1.44,0.22,9.11,0.0,4607382.98,368305.0,368603.0,4603658.11,,,,,,,,0.13,,8270.0,,,,,,,,5.56,,,,1.17,1.17,31210060.0,390112666.86,,469.93,1.17,14.01,0.1263,22.44,0.0187,15.175
2012-12-17,575269.0,7178775.19,0.54,1.43,0.21,8.92,0.0,5805000.79,278477.0,465182.0,3475111.26,,,,,,113306.0,,1.66,,110375.0,,,,,1.72,20547.0,16727.0,4.22,0.26,,,0.88,0.88,31298232.0,390570274.5,,472.98,0.88,19.26,0.142,23.02,0.0182,15.15
