,ALTRO FP Equity_PX_LAST
2024-04-23,3.5
2024-04-24,3.5
2024-04-25,3.5
2024-04-26,3.5
2024-04-29,3.5
2024-04-30,4.0
2024-05-02,4.44
2024-05-03,3.5
2024-05-06,3.96
2024-05-07,3.96
2024-05-08,3.96
2024-05-09,3.54
2024-05-10,3.54
2024-05-13,3.54
2024-05-14,3.6
2024-05-15,3.6
2024-05-16,3.62
2024-05-17,3.66
2024-05-20,3.66
2024-05-21,3.96
2024-05-22,3.96
2024-05-23,3.96
2024-05-24,3.96
2024-05-27,3.96
2024-05-28,3.6
2024-05-29,3.6
2024-05-30,3.6
2024-05-31,3.6
2024-06-03,3.4
2024-06-04,3.4
2024-06-05,3.4
2024-06-06,3.4
2024-06-07,3.4
2024-06-10,4.4
2024-06-11,3.42
2024-06-12,3.42
2024-06-13,3.42
2024-06-14,3.42
2024-06-17,3.42
2024-06-18,3.42
2024-06-19,3.6
2024-06-20,3.6
2024-06-21,3.6
2024-06-24,3.6
2024-06-25,3.7
2024-06-26,4.38
2024-06-27,4.38
2024-06-28,4.38
2024-07-01,4.38
2024-07-02,4.38
2024-07-03,4.38
2024-07-04,4.38
2024-07-05,4.2
2024-07-08,4.16
2024-07-09,4.16
2024-07-10,4.16
2024-07-11,4.16
2024-07-12,4.16
2024-07-15,3.8
2024-07-16,3.8
2024-07-17,3.7
2024-07-18,3.7
2024-07-19,3.7
2024-07-22,3.7
2024-07-23,3.7
2024-07-24,3.7
2024-07-25,3.56
2024-07-26,3.7
2024-07-29,3.7
2024-07-30,3.7
2024-07-31,3.7
2024-08-01,3.86
2024-08-02,3.86
2024-08-05,3.86
2024-08-06,4.2
2024-08-07,4.2
2024-08-08,4.2
2024-08-09,4.2
2024-08-12,4.24
2024-08-13,4.24
2024-08-14,4.24
2024-08-15,4.24
2024-08-16,4.24
2024-08-19,3.72
2024-08-20,4.24
2024-08-21,4.24
2024-08-22,4.24
2024-08-23,4.3
2024-08-26,4.58
2024-08-27,4.58
2024-08-28,5.5
2024-08-29,5.5
2024-08-30,4.66
2024-09-02,4.66
2024-09-03,4.66
2024-09-04,4.66
2024-09-05,4.66
2024-09-06,4.66
2024-09-09,4.66
2024-09-10,4.66
2024-09-11,4.66
2024-09-12,4.66
2024-09-13,4.66
2024-09-16,5.45
2024-09-17,5.45
2024-09-18,5.45
2024-09-19,5.45
2024-09-20,3.7
2024-09-23,3.7
2024-09-24,3.7
2024-09-25,3.74
2024-09-26,3.74
2024-09-27,3.74
2024-09-30,3.74
2024-10-01,3.74
2024-10-02,3.74
2024-10-03,3.74
2024-10-04,3.74
2024-10-07,3.74
2024-10-08,3.74
2024-10-09,3.74
2024-10-10,3.74
2024-10-11,3.74
2024-10-14,3.74
2024-10-15,3.78
2024-10-16,3.8
2024-10-17,4.0
2024-10-18,3.56
2024-10-21,3.56
2024-10-22,3.56
2024-10-23,3.56
2024-10-24,3.56
2024-10-25,3.56
2024-10-28,3.56
2024-10-29,3.56
2024-10-30,3.58
2024-10-31,3.58
2024-11-01,3.58
2024-11-04,3.58
2024-11-05,3.58
2024-11-06,3.58
2024-11-07,3.58
2024-11-08,3.58
2024-11-11,3.58
2024-11-12,3.58
2024-11-13,3.58
2024-11-14,3.58
2024-11-15,3.58
2024-11-18,4.0
2024-11-19,4.0
2024-11-20,4.0
2024-11-21,4.0
2024-11-22,4.0
2024-11-25,4.0
2024-11-26,4.0
2024-11-27,4.0
2024-11-28,4.02
2024-11-29,4.0
2024-12-02,4.0
2024-12-03,4.0
2024-12-04,4.0
2024-12-05,4.0
2024-12-06,4.02
2024-12-09,4.02
2024-12-10,4.02
2024-12-11,3.38
2024-12-12,3.46
2024-12-13,5.0
2024-12-16,4.9
2024-12-17,4.9
2024-12-18,4.88
2024-12-19,4.88
2024-12-20,4.88
2024-12-23,3.36
2024-12-24,3.36
2024-12-27,5.0
2024-12-30,4.02
2024-12-31,4.02
2025-01-02,5.5
2025-01-03,5.45
2025-01-06,5.45
2025-01-07,5.45
2025-01-08,5.45
2025-01-09,5.45
2025-01-10,5.45
2025-01-13,5.45
2025-01-14,5.45
2025-01-15,5.45
2025-01-16,5.45
2025-01-17,5.45
2025-01-20,5.45
2025-01-21,5.45
2025-01-22,5.45
2025-01-23,5.45
2025-01-24,3.9
2025-01-27,5.35
2025-01-28,3.92
2025-01-29,3.92
2025-01-30,5.3
2025-01-31,4.3
2025-02-03,4.3
2025-02-04,5.35
2025-02-05,4.1
2025-02-06,4.98
2025-02-07,4.5
2025-02-10,4.5
2025-02-11,4.1
2025-02-12,4.1
2025-02-13,4.1
2025-02-14,4.1
2025-02-17,4.1
2025-02-18,4.0
2025-02-19,4.0
2025-02-20,4.0
2025-02-21,4.0
2025-02-24,4.0
2025-02-25,3.68
2025-02-26,3.68
2025-02-27,3.68
2025-02-28,3.7
2025-03-03,3.7
2025-03-04,3.7
2025-03-05,4.5
2025-03-06,3.64
2025-03-07,3.64
2025-03-10,3.64
2025-03-11,3.64
2025-03-12,3.64
2025-03-13,5.0
2025-03-14,5.0
2025-03-17,4.24
2025-03-18,4.24
2025-03-19,4.24
2025-03-20,4.24
2025-03-21,4.24
2025-03-24,4.24
2025-03-25,4.24
2025-03-26,4.24
2025-03-27,4.24
2025-03-28,4.24
2025-03-31,4.24
2025-04-01,4.5
2025-04-02,5.0
2025-04-03,4.54
2025-04-04,4.52
2025-04-07,4.52
2025-04-08,4.7
2025-04-09,4.7
2025-04-10,4.8
2025-04-11,4.7
2025-04-14,5.0
2025-04-15,4.98
2025-04-16,5.0
2025-04-17,5.0
2025-04-22,5.0
2025-04-23,5.0
2025-04-24,5.0
2025-04-25,5.0
2025-04-28,5.0
2025-04-29,5.0
2025-04-30,5.0
2025-05-02,5.0
2025-05-05,5.0
2025-05-06,5.0
2025-05-07,5.0
2025-05-08,5.0
2025-05-09,4.0
2025-05-12,4.0
2025-05-13,4.0
2025-05-14,4.0
2025-05-15,4.0
2025-05-16,4.0
2025-05-19,4.0
2025-05-20,4.5
2025-05-21,4.5
2025-05-22,4.4
2025-05-23,4.4
2025-05-26,4.4
2025-05-27,4.4
2025-05-28,4.4
2025-05-29,5.25
2025-05-30,5.25
2025-06-02,4.68
2025-06-03,4.7
2025-06-04,4.7
2025-06-05,4.86
2025-06-06,4.86
2025-06-09,4.86
2025-06-10,5.55
2025-06-11,5.55
2025-06-12,6.25
2025-06-13,5.4
2025-06-16,5.7
2025-06-17,5.9
2025-06-18,5.7
2025-06-19,6.1
2025-06-20,6.7
2025-06-23,6.65
2025-06-24,6.65
2025-06-25,6.7
2025-06-26,7.0
2025-06-27,6.65
2025-06-30,6.4
2025-07-01,6.6
2025-07-02,6.6
2025-07-03,6.6
2025-07-04,7.15
2025-07-07,7.5
2025-07-08,7.5
2025-07-09,7.5
2025-07-10,6.1
2025-07-11,5.6
2025-07-14,6.85
2025-07-15,5.8
2025-07-16,5.45
2025-07-17,7.0
2025-07-18,6.2
2025-07-21,5.8
2025-07-22,7.0
2025-07-23,5.5
2025-07-24,5.85
2025-07-25,5.5
2025-07-28,5.4
2025-07-29,5.7
2025-07-30,5.7
2025-07-31,5.6
2025-08-01,5.6
2025-08-04,5.6
2025-08-05,5.45
2025-08-06,5.5
2025-08-07,5.6
2025-08-08,5.6
2025-08-11,5.45
2025-08-12,5.45
2025-08-13,6.5
2025-08-14,5.55
2025-08-15,6.2
2025-08-18,5.75
2025-08-19,5.85
2025-08-20,5.6
2025-08-21,5.6
2025-08-22,5.6
2025-08-25,6.0
2025-08-26,5.75
2025-08-27,5.9
2025-08-28,5.9
2025-08-29,5.9
