,ALPLA FP Equity_DX_SI_QTY,ALPLA FP Equity_DX_SHORT_INTEREST_VALUE,ALPLA FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALPLA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALPLA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALPLA FP Equity_DX_SI_MV,ALPLA FP Equity_DX_DSS,ALPLA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALPLA FP Equity_DX_SUPPLY_SI_QTY,ALPLA FP Equity_DX_BROKER_SI_QTY,ALPLA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALPLA FP Equity_DX_BROKER_SI_QTY_ADD,ALPLA FP Equity_DX_SUPPLY_SI_MV_DEC,ALPLA FP Equity_DX_SUPPLY_SI_QTY_DEC,ALPLA FP Equity_DX_BROKER_SI_MV_ADD,ALPLA FP Equity_DX_SUPPLY_SI_QTY_ADD,ALPLA FP Equity_DX_BROKER_SI_QTY_DEC,ALPLA FP Equity_DX_SUPPLY_SI_MV,ALPLA FP Equity_DX_BROKER_SI_MV_DEC,ALPLA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALPLA FP Equity_DX_UTILIZATION_QUANTITY,ALPLA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALPLA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALPLA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALPLA FP Equity_DX_ACTIVE_UTILIZATION_MV,ALPLA FP Equity_DX_BROKER_SI_CON_RATIO,ALPLA FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALPLA FP Equity_DX_DEMAND_SUPPLY_RATIO,ALPLA FP Equity_PX_LAST
2014-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79
2014-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7
2014-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79
2014-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79
2014-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56
2014-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
2014-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79
2014-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79
2014-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.52
2014-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.77
2014-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.77
2014-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2014-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7
2014-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56
2014-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
2014-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.68
2014-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
2014-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78
2014-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.68
2014-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
2014-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.68
2014-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.68
2014-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
2014-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56
2014-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2014-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
2014-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
2014-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
2014-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
2014-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
2014-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
2014-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2014-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2014-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.65
2014-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.65
2014-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.77
2014-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79
2014-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.65
2014-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79
2014-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.65
2014-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79
2014-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56
2014-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
2014-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
2014-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.78
2014-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2014-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.99
2014-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.94
2014-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.92
2014-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.04
2014-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.03
2014-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.99
2014-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.01
2014-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.98
2014-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.98
2014-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.99
2014-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.99
2014-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.99
2014-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.99
2014-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.94
2014-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.89
2014-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.95
2014-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.96
2014-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.99
2014-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.97
2014-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.97
2014-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.03
2014-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2014-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2014-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.95
2014-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2014-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.92
2014-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.97
2014-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.93
2014-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.97
2014-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.96
2014-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.98
2014-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.03
2014-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2014-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2014-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2014-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.04
2014-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.07
2014-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.08
2014-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.09
2014-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.08
2014-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.35
2014-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.45
2014-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.35
2014-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.34
2014-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.33
2014-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.33
2014-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.33
2014-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.35
2014-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.09
2014-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1
2014-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1
2014-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1
2014-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.99
2014-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.99
2014-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.88
2014-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.83
2014-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2014-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.74
2014-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7
2014-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7
2014-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
2014-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72
2014-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72
2014-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.85
2014-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9
2014-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.89
2014-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.89
2014-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.89
2014-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.89
2014-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9
2014-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9
2014-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.92
2014-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.89
2014-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75
2014-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7
2014-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7
2014-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.81
2014-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.81
2014-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.85
2014-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.87
2014-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.94
2014-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2014-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75
2014-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.85
2014-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.98
2014-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.95
2014-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9
2014-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.92
2014-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.91
2014-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.85
2014-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.96
2014-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.89
2014-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2014-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75
2014-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.77
2014-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.74
2014-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.74
2014-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75
2014-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.74
2014-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.66
2014-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
2014-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
2014-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
2014-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55
2014-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55
2014-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.42
2014-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.39
2014-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
2014-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.53
2014-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.51
2015-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.54
2015-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
2015-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
2015-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7
2015-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.65
2015-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
2015-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
2015-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
2015-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58
2015-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6
2015-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.66
2015-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7
2015-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71
2015-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71
2015-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.85
2015-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.88
2015-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.86
2015-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.85
2015-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.88
2015-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.86
2015-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2
2015-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.38
2015-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.62
2015-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55
2015-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.65
2015-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.65
2015-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.55
2015-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.43
2015-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.35
2015-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.31
2015-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.38
2015-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.38
2015-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.37
2015-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.35
2015-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.28
2015-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.22
2015-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.45
2015-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.48
2015-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.45
2015-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.44
2015-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.45
2015-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.45
2015-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.43
2015-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.43
2015-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4
2015-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.38
2015-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.37
2015-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.31
2015-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.33
2015-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.33
2015-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.39
2015-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.39
2015-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.39
2015-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.33
2015-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.33
2015-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.33
2015-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.34
2015-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.38
2015-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.45
2015-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4
2015-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.45
2015-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.45
2015-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.35
2015-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.31
2015-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.35
2015-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.35
2015-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.45
2015-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.45
2015-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.45
2015-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.45
2015-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.45
2015-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.46
2015-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.46
2015-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.38
2015-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.45
2015-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.39
2015-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.11
2015-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.32
2015-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25
2015-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.19
2015-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.15
2015-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.15
2015-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.19
2015-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.18
2015-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.15
2015-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.15
2015-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.15
2015-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.15
2015-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1
2015-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1
2015-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1
2015-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1
2015-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.09
2015-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.21
2015-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.31
2015-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.31
2015-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.12
2015-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.17
2015-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.17
2015-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.16
2015-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.08
2015-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.12
2015-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1
2015-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.11
2015-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2
2015-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.23
2015-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25
2015-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2
2015-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.15
2015-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2015-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.99
2015-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.06
2015-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.76
2015-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2015-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.93
2015-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.98
2015-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.85
2015-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2015-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.92
2015-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.07
2015-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.15
2015-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.13
2015-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2
2015-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1
2015-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.09
2015-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.13
2015-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.09
2015-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.12
2015-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.12
2015-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.09
2015-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.08
2015-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.13
2015-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.12
2015-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.12
2015-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.13
2015-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.19
2015-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.34
2015-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.32
2015-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.37
2015-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.36
2015-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.37
2015-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.33
2015-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2015-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2015-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.01
2015-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.95
2015-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.96
2015-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.91
2015-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.93
2015-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.92
2015-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.04
2015-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.93
2015-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2015-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2015-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2015-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2015-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.96
2015-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.95
2015-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9
2015-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.87
2015-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2015-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.81
2015-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8
2015-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.56
2015-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.81
2015-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75
2015-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.77
2015-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72
2015-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72
2015-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.47
2015-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.47
2015-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.43
2015-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.49
2015-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.54
2015-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.58
2015-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.57
2015-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.57
2015-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.48
2015-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.55
2015-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
